字段1_文本,字段2,时间,字段3,时间1
EmptyCityOrCity,"【购车经历】
    之前一直关注国产某品牌车，因为一直涨价，销售牛气，放弃后正好一汽丰田降价清仓，去当地试驾看车，被外观吸引，试驾后感觉动力还行。特意开着试驾车跟朋友的国货比了一下感觉还行。
    之后就跟销售砍价，但是当地优惠力度不大，从懂车帝联系隔壁城市4s店销售优惠8.3w公务员补贴1w置换补贴5k果断订车，现车为长续航pro白色+智能泊车指导价259800优惠后16.08保险6K贷了两年0息回当地上牌。
提车前一天跟销售联系好让他充满电，到店后销售告诉他们店没有快充只有随车充，没充满（可能是提车都不敢给充满），提车时表显续航438km，到家还有十几公里时候表显为---不显示里程（从4s店到家270公里），提示“牵引用蓄电池耗尽，输出功率降低，请立即给车辆充电”最终安全到家，到家后拿出随车充一看额定电流8a😂，果断放弃，因为家里有台长安奔奔，随车充是13a插上开始冲，车机显示充满需要34小时（随车充显示53小时），因为回来比较晚了就没跟销售联系，第二天因为单位有事需要开车出去，充了一晚充到表显251公里，49%电量之后联系销售车辆续航不准，销售糊弄我说新车虚电，让我充满电看看满电能跑多少公里，因为单位出差距离我家170公里左右表显251我感觉到不了，又在星星充电桩充了两个小时冲到80％表显续航406公里拔枪出发。到达目的地后用随车充开始给车充电，充了足足28小时冲到100％电量表显续航517，之后返回家，到表显剩余60公里时充电，第一次满电行驶359公里掉电457公里，之后又自己网购了星星7kw充电桩充满表显515，去了当地4s店做召回升级，第二天跟销售联系电池有问题，顺便想贴膜，约好销售后开车去4s店距离4s店还有12公里时表显为0显示---最后安全到达4s店（两天共行驶，370公里），销售又给安排了随车手枪充电，充了11公里中午蹭了个免费午餐，之后销售找了售后检测了一下说没有问题，当时跟售后师傅理论，标615就算北方电车打八折表显500公里，但是表显500公里实际行驶还要再打7折，我全程最高车速109km/h平均车速60km/h给售后师傅看了软件数据，全程没有开空调，师傅跟我理论丰田的计算方式不同，我说我家也有新能源电动车，但是不是这样续航6折续航（春季内蒙古温度15-20°左右）师傅跟我说会跟厂家联系。（其实就是糊弄）销售当时也在场，他说他了解的这个车这个季节续航应该在450-500之间。我这个确实不正常。之后不了了之，销售给安排了贴膜。贴完后销售都不管我了，去车展了。
   提醒大家懂车帝冬测和车评都是真实的，无风不起浪，是车本来就续航不扎实，续航不扎实丰田你别乱标啊，标615续航明显误导消费。降价促销也应该把问题处理再销售啊。续航和充电慢的问题不解决降价清库存不管购车人的使用体验吗？
【最不满意】
续航续保严重，达成率内蒙古春季6折，不开空调的情况。风噪特别大。100km/h以后特别明显，耳朵共振。特别挑充电桩，同样120kw快充星星和特来电充电功率差距很大。

【提车价格】
裸车16.08，保险5900，上牌130，临牌10

【驾驶感受】
驾驶操控感觉还行，底盘偏硬。
【续航】
370（标615）打6折",2023-04-28,包头,
五饼二鱼,车大，机甲风，价钱是真便宜，调教功力深厚，舒适快捷，续航真实。 内饰low，快充80%过后充电功率骤降，北方车友劝退，没有家桩劝退，有长途需求劝退。 非常合格的买菜上班接小孩用的车子。,2023-04-03,无锡,
给心情放假55,优点：空间大、省电、性价比高、辅助驾驶很好用、操控还可以，底盘扎实 缺点：1.充电速度慢，尤其是80%以后，10KW左右，90%以后比慢充都慢。 2.自动泊车不好用，跟新势力还有很大差距 3.车机反应慢,2023-10-17,郑州,
明天等着我,外观新颖，内室也不错，舒适度挺好的，后备箱小了点，之前考虑买比亚迪的，开过朋友买的，起步噪音大，四十码后没有了翁翁，应该是电机起动产生声音，所以一眼相中了BZ4X，之前也没多了解，加上家人也喜欢，所以立马订车，用了半年了，刚从4S店开回来时，续航550，之后一直掉续航，不说了，买了就买了，主要是相信大车企的质量。,2023-11-30,上海,
誓言无声866,外观肯定没得说，正好长在我的审美上，最大的缺点在内饰，没有副驾驶储物盒，其他倒也够用。只在市区跑，晚上回家充电，续航能力也够，偶尔出去郊游啥的也没问题。经过一周多使用，这车表显里程十分精准，满电，不开空调能跑520km目前电耗14.8，还在持续下降，这个表显十分满意,2023-06-08,湖州,
首席捕鱼官,外观很好，操控质感很好，油耗表现很好，空间表现很好。内饰比较一般，快充限制比较严格，充到85%以上充电速度会锐减。,,福州,2023-06-05
气球飞屋环游记,最近提了一丰bZ4X长续航JOY版，4S店增配了原厂12.3寸车机和360摄像头雷达，全车17万多一点落地，这个车怎么说呢，如果抛开塑料内饰和垃圾娱乐系统，全车其他性能全是优点，它的驾驶品质远远胜过同价位对手。,2023-09-08,厦门,
用户6263523758753,比网传的好很多，但是快充确实需要吐槽一下，0～80%速度及格，可以在一小时之内。但80～100%如同慢充。,,北京,2023-07-27
高转青年,"【最满意】为丰田bZ4X是一款兢兢业业的家用车，同时也能看出丰田在提升驾驶质感方面所做的努力。虽然丰田bZ4X是基于纯电平台打造，但从很多方面能够看出，丰田依旧拿着燃油车的思路来打造这款电动产品。

【最不满意】单就产品力而言，其实跟目前主流的新势力纯电SUV还是有一些差距，尤其在是智能硬件和智能座舱方面。

【驾驶感受】方向盘的虚位较小，转向力度偏重一些，并不是完全向着家用车的风格进行调校调校，有着不错的韧性。最大功率为150kW的单电机前驱版，官方0-100km/h加速时间为8.4s，单从账面数据来看，在同级别算是一个中规中矩的动力水平。

【乘坐体验】车内依旧延续了丰田一贯的设计理念，即没有太多豪华的用料和前沿的配置，一切以实用为主，同时有着不错的空间表现和乘坐舒适性。",,,2022-11-28
汽车天涯,新车作为一汽丰田的首款纯电车型，也是e-TNGA架构纯电平台下首款车型，很显然没有太多亮眼的表现，作为纯电车型，无论是最大615km的纯电续航，还是加速表现，或者是智能化表现，和国产的新能源车型还是有不小的差距的，再加上接近20万的起售价，恐怕很难在销量有所突破，唯一值得一看的恐怕就是设计了，轮眉采用黑色处理，和车身形成反差，凸出的前后翼子板和后风挡玻璃较大的倾角让bZ4X更具跨界风格，内饰高位仪表盘、12.3英寸中控屏等，总的来看，真的喜欢的消费者还是等降价吧。,,,2022-10-31
矩阵分析师,这玩意快充之前竟然还要凉车！单位的车，今天没上高速，只在市区跑跑。结果在充电站换了三根桩都充不进去电，第四根桩好歹是充上了，速度奇慢，半小时才充了20度电。原来是这车充电前还有一个冷却的时间，不然充不了，充电速度随着温度下来才能慢慢加快，最终充满得三个小时！！我的天啊，这就是小日子的电动车吗？看着旁边的货拉拉司机怼上就走了，这破车，真快把我尴尬死了，车机还卡的一批。躬将们真的只配鞠躬了吗？,2024-01-04,,
Top试驾,最满意 丰田bZ4x还是很明白自己的情况的，价格已经降了6W了。 最不满意 我们就先抛开低温充不上电和轮毂螺栓脱落的问题不说，就连电动车最基本的续航问题，丰田都没能整明白。国外有媒体在4度的环境下，WLTP504公里的BZ4X只跑了246KM，续航461KM的四驱车只跑了215KM，除了续航达成率没过50%外，还有两个问题需要大家注意，第一就是温度是零上4度而我国北方的冬天要比这个温度低得多，第二个问题就是电池容量，海外的bZ4X电池71度，而国内的BZ4X最大的只有66.7度，那这么算下来的话，国内的bZ4X在北方用冬天的续航可能连200KM都跑不到。要知道老对手大众的ID4在零下20度的内蒙古还能跑269KM。,2023-02-25,,
用户5431820001124,外观各花入各眼，没什么评价性的。内饰确实不如10万级的国产车。续航还是比较真实的，但充电到80%以上是真的慢，这个后期会对系统升级改善。L2级的辅助，基本的都有，反正我也不敢交给自动驾驶。胎燥有点偏大，10万级的油车水平。整体驾驶舒适度性价比很高了。,,,2023-06-07
汽车天涯,外观方面，采用了“Hi-Tech andEmotion”设计主题，整车的“锤头鲨”前脸风格，在融入了仿生学理念基础上，也显得个性十足。此外，全新车型还配备了四颗LED光源大灯，而这也是全系的标配。内饰方面，仪表盘和中控屏不在一条水平线上，整车的三辐式方向盘较为规整，此外，中控台部分的副驾驶一端，更以织物状态展现，呈现出环保与科技的融合。 动力方面，将会提供两驱和四驱版本可选，两驱版本搭载的点击最大功率为150kW，峰值扭矩266Nm，并且还提供了工况综合续航里程400km和615km两种续航版本。而四驱版车型则搭载的是双电机布局，综合最大功率160kW，峰值扭矩337Nm，续航里程根据车型不同分别为560km和500km。,,,2022-10-30
