字段1_文本,字段2,时间,字段3,时间1
汽车天涯,这是电动车市场一款存在感很低的产品，它的续航只有300km出头，单电机，功率100kw，开起来和1.4T的Q2L燃油版的加速感会比较相似，配置方面，这款电动版和Q2L的同价位燃油版车型也是比较接近的。 在设计上，除了格栅部分的“堵漏”式设计，和Q2L的差别很小。 应该说，这就是奥迪照着燃油版的样子画出来的电动版，当然，电动版的平顺性和低扭表现都会好得多。 会有人需要这样一款车吗？可能会吧，比如当你带着老婆/女朋友就是想去买辆20万以内的奥迪车代代步，但是又没有摇到号，或者不想平时加油心疼，家里刚好又有车位，销售会大手一挥：您可以看看这款电动版，加速、配置都差不多。 仅此而已。,,,2022-04-29
职业玩家5123,家里有了油车，面对油价日益上涨，属实扛不住，一直想寻找新能源汽车，家就住在汽车城旁边，跑了很多4S店，看了包括byd，五菱mini，宝骏kivi，电高，小鹏等等，最终还是选择了奥迪Q2L e-tron，除了续航短了点，其他都是挺让人满意的，作为日常出行买菜车，是完全够用了。 先说说驾驶方面，D档和油车驾驶感觉差不多，不过明显电车动力反应更快，但是提速感还是没有油车带感，悄无声息的驾驶感还是适合女生，暴力驾驶基本和这辆车告别了。B档的单踏板模式，开惯了油车确实不太习惯，因为续航太短了，所以还是得要适应B档驾驶。 再说说内饰，因为是油改电，所以和燃油车一样的内饰，对比其他新能源车，少了一些科技元素，比较传统，没有电动座椅也确实太不够bba了，回头一想想这个价格，也就算了。 总体来说，买菜车是完全够格的，家里如果能装桩子的，还是舒服很多。没有续航焦虑，建议家里有油车的，选择一辆代步车是完全可以考虑。,2021-09-14,长沙,
司马嘉栩,"最近刚好某共享汽车平台上了q2l-rtron（以下简称电q2），正好我之前也开过汽油版的q2l（以下简称油q2），再加上大额优惠卷的加持，正好去体验了一番。

首先说动态表现，这台车并没有像很多新势力一样有爆炸的加速，甚至136马力推动这台车实测的加速成绩还不如汽油版，不过实际体验起来，得益于电动车的特性，初段动力及响应还是挺不错的，城市驾驶感受比较好，加速的话市区没问题，上了高架在超车就一般了，受制于条件没有上高速，因此也不太清楚。同时动力输出特性也是偏燃油化的，即使深踩电门也不会有特别突兀的感觉，动能回收的力度即使调到最高也偏小，几乎不能单踏板驾驶，不过有刹车踏板关联的动能回收，但这台车的电制动和机械制动的衔接一般，会有一些突兀的感觉。底盘表现和油q2差不多，滤震比较柔韧有一定的高级感。激烈驾驶感觉一般，转向手感中评，感觉有点偏重，车身跟随性以其尺寸定义感觉也一般。Nvh表现还算可以。

静态上，外观上变化不大，主要是车头的变化和尾部减少了排气。内饰也是一脉相承，还是油q2那一套，这套内饰基本沿袭自上代a3，因此可能会给人一种审美疲劳的感觉，不过胜在熟悉好用，中控屏幕不能升降差点意思，人机工程学好评，能调到比较合适的位置，不过感觉mmi旋钮好像略显靠后，操纵的时候有些别扭。后排确实不怎么样，座椅偏硬，靠背角度很陡，坐垫也很短，中间地台也有突起，而且后排中间位置坐人还很容易顶头，总体表现不太适合长时间乘坐成年人，后备箱空间中规中矩，能满足日常基本的装载需求。

总的来说，这台电q2的表现和油q2还是比较相似的，而油q2相似的地方不再赘述，可以翻看我之前的文章。但对于电q2标称260km的续航确实在使用上会差点意思，不过这样的小车基本也就是作为家中第多辆车或者年轻人的第一辆车而存在，对此我的建议是，如果是家中第多辆车自己开且不需要用这台车跑长途且家里有固定充电条件的话，在终端价格足够低的前提下也可以考虑，此时在市区行驶的时候驾驶感会比油q2稍微好一点，否则如果真就想在电q2和油q2之间选择我还是推荐油q2。",2021-07-13,,
为啥换这车官方,"【外观】这台车是我们自己买的，怎么形容它呢？当时买它的原因很简单。就是外观以及车身尺寸小，城市里方便停车。像我们家是老旧小区没有固定停车位，晚上回家抢车位能把电耗干了。所以小车+漂亮是首选。再加上四个圈的加持，即使是油改电车型，依然有着不错的外观。

【内饰】如果回到10年前，我会用豪华来形容它，如果回到5年前，我会用满意来形容它，如果是现在，我会用中规中矩来形容它。并不是设计的不漂亮，而是作为一个二线豪华品牌，门板，挡把附近都是塑料。要知道15万这个价位的中国品牌，强的不是一星半点。当然，这是在用料方面，而设计上，还是很奥迪风的。美感不言而喻。

【配置】有惊喜也有失落，比如失落的方面，织布座椅，手动座椅调节，定速巡航只有最高不能高与多少的限速，并不是真正意义上的定速巡航。也有一些惊喜，比如分区空调，全尺寸液晶仪表，自动头灯。对了，车机不是智能的，也不能远程着车让人有不少遗憾。

【空间】作为一台小型SUV，我就是奔着小去的，所以空间够2个人坐就行，4个人也坐过，并没有明显的局促感。但是后备厢的空间是真不大，没有惊喜，也没有失落，所以结论就是中规中矩。

【操控】这台车在动力、续航方面都不怎么样。先聊聊动力和操控吧，城市代步用，想超车必须舍得给电门，还得能忍受猛掉续航的现象。高速表现的相对稳一点，但是我个人不建议在高速上追求什么动力。超车不一定能很迅速，所以慢慢开吧。续航上265 NEDC，夏天日常开300问题不大。但是也得保证良好的路况才可以。

【动力】上面聊过了，动力不能说它差，但它能保证你平稳的加速以及有不错的刹车距离。我最喜欢的就是刹车距离，线性，有效率。整体来说一般，日常跟脚。

【舒适性】除了后排也才用独立悬架外，其它哪哪都硬。舒适性可以说几乎没有，对了，后排没有空调出风口，乘坐舒适性大打折扣是我给他2分半的最终原因。",,,2021-06-18
线外邦,"奥迪Q2L e-tron个人觉得它是一款非常有性价比的车，为什么？因为便宜，目前奥迪Q2L e-tron终端价格大约在16万左右，虽然16万的价格买一款续航只有265公里，实际续航可能才200公里的纯电SUV在许多人看来没什么性价比，但我们不妨和同价位的电动车比一比就知道了。

首先，15、6万的价格可以买到很多国产品牌电动车，比如欧拉好猫，但是你仔细想想，欧拉是什么品牌，奥迪是什么品牌？仅靠品牌光环奥迪就完胜。曾经我也开过一段时间Q2L e-tron。这车怎么样呢？其实和燃油车不相上下，只是续航里程确实很短，夏天不太敢开空调，冬天也不太敢开暖风。

那么这款车适合什么样的场景呢？那就是日常上下班代步，且你家里有自己的车位，且你的车位还能安装充电桩，或者你们公司楼下有充电桩，这也来看才是真正的划算，方面。不然可能确实不太方面。当然，奥迪Q2L e-tron也有很尴尬的时候，比如1线城市，上下班很拥堵，你心里就会为续航担忧，毕竟这款车的续航确实太短了，满打满算200公里，上下班来回通勤100公里左右确实够用，但公里数长了，加上堵车，也确实显得尴尬。总体来说，如果你的资金比较富裕，加上你所在的城市有限行规则，你需要一款便宜、能上绿牌的豪华品牌，奥迪Q2L e-tron或许是不错的选择，但如果，你对续航里程有硬性需求，那这款车可能不大适合你。",2021-05-17,,
奥迪小灰,奥迪Q2电动确实不错，外观和内饰质感很好，提车就马上去改装一下了，先贴一个改色膜，毕竟原车只有黑色和白色选择了，然后换了一个燃油版的中网，看起来挺搭配的，别人还问是不是二三十万的车，毕竟是奥迪嘛，配置都很满的，唯一就是没有电动座椅，还有这车续航里程不多，但市区跑绝对够用，外面充电也方便，晚上就在家充电，实际用起来还是不错的，能覆盖它的不足，值得推荐！,2021-10-07,广州,
用户6140397839912,最满意是车的配置很高，液晶仪表，定速巡航，自动大灯自动雨刷，大天窗，自动驻车，100以内动力也是很强，虽然是个油改电但是行驶质感底盘调教是比新势力强不少的，而且这个车加装acc巡航很方便，只需要加一个方向盘手柄，原车前雷达和abs泵都不用升级，下来不到2000。都说内饰不行可是该有的他都有，这车是4s认证二手车，2年24w公里，没有一处补漆，11.2的价格也是真香，再差安全性也比海豚海鸥强吧? 22w的q2le是工业垃圾，11w的q2le就三代表了德国汽车工艺的巅峰!,2023-06-29,西安,
Gosfire,卖牌子的  内饰和面包车一样，语音系统和智障一样 要不是媳妇非要买，我能买它？,,西安,2022-06-21
無天晴晴天,给老婆买的车，这个小操控好，三年7万公里没啥毛病，就是续航低一点，市区基本200－240左右的续航，油改电没啥智能化，车标比车值钱！,,深圳,2023-04-08
论车有道二手车,真实的用车体验是：由于续航里程太短，跑高速体验太差，跑100公里就要充电，但是充电又不能快充，4S店的解释是电池过热，要等半小时冷却下来保护机制关闭才能快充；而且电池温度过高也会提示性能受限。,,,2021-06-23
有点车事,"如果说Q2L是一款十分精品的豪华品牌入门级城市SUV，那么作为它的电动版，Q2L e-tron的性价比可就真不算高了，主要原因在于立足于电动紧凑型SUV这个市场，不仅同价位的选择很多，而且一众新势力品牌的产品优势显得更加明显，除了定位上、尺寸上的差异之外，丰富的科技化配置也是纯电动SUV市场里国内新势力品牌的绝对优势，因此综合来看这台车的性价比不高。

但回归车型本身，Q2L e-tron的综合产品力还是保持了奥迪品牌在入门级产品中强大的布局能力，驾驶风格由于采用了纯电驱动的方式，动力比燃油版的要更强，因此在加速的畅快性表现上甚至更直接，而总体的转向和操控保持了奥迪的调校水准，在驾驶层面的灵活性可以保证这款车具有一定的乐趣。

因此对于这款车的购买建议，编者认为这款车本身没有太多问题，但是如果作为家庭的唯一用车，这台车的产品力在空间表现，科技配置部分并不会占据太多优势，同价位不如选择更有乐趣且可玩性更高的新势力品牌，在纯电动出行之外，体验更多科技配置带来的用车乐趣。",,,2021-09-29
车加智能,"其实，这台车销量并不好，也不能说非常值得购买，但是放眼一看，BBA面向大众的，目前就这一款还算是拿的上台面的纯电SUV车型。

外观和内饰的设计感和精致感一如既往的奥迪车型。底盘扎实，韧性十足，动态表现非常不错，行驶质感还是有保证的。空间中规中矩，没有什么亮点；290牛米的最大扭矩并不出彩，甚至可以说是在一众电车中相对落后。D档基本上没有动能回收，B档动能回收仅有一档，松踏板拖拽感立刻出现，稍显突兀，但是单踏板驾驶更为方便一些，会给人动力十分跟脚的感觉。NEDC265km是一大槽点，现在看来的确有点掉队了，基本上只适用于市区通勤使用，不过有消息称超过300km的长续航版本将要上市了。

总之，这是一台适合家用日常通勤的小车，没有多少亮点，也没有太多的科技感，但是市区游弋，游刃有余，当然，也只能用于市区游弋。",,,2021-05-03
龙眼科技biubiubiu,因为这边打7折，但是奥迪的一贯尿性就是要买装潢，13800，因为有原装倒车影像，13800换成了全车膜，电尾门，镀晶，开票价178900。开着很不错，虽然是130多标的马力，但是加速很平顺，正常超车啥，动力随叫随到，高速超车动力输出标达到100%，这个时候感觉动力稍稍偏若，但也仅限高速情况下，正常市区动力表现，肯定比家里19年1.4ta3开着舒服，反正我觉得还行，就是里程数短，充电焦虑比较严重，但是奥迪还是比较厚道，265标程，实际不开ac，有个230，开ac，差不多200左右，今天刚装完厂家送的充电桩，开始一毛不到的出行了！,2021-05-23,绍兴,
木头人说事,"这个车开一年多点。我是电车很实惠家（家里还有油🚗）。来这个就实用现在都开56780公里。
【购车经历】我选车行选改电动座椅。选全米其林轮胎12万免息一共17.2W

【驾驶感受】
这个车比国内车牌用的安全些刹车稳。就是后排小孩安全锁不是很好。每天一充（有固定车位，要面子的，不想花太多钱买续航多的就这）
【维修成本】
这个车开一年也没什么费用就换个雨刮。不要保养。",2022-02-26,深圳,
