字段1_文本,字段1_链接,字段2,时间,字段3,时间1
一只傻小胡,https://www.dongchedi.com/user/83389720662,现在买车还是新能源比较划算，有补贴，免购置税，保养便宜，日常开支小，而且还没有什么噪音。不想买特斯拉，谁特么三十多万买个丐中丐？对比之后还是电马入了法眼，颜值帅，续航可以，配置高，这三十万花的才不冤。空间可以满足日常生活，后排稍显拥挤，不过后排座位很舒服，坐垫加上和一点向上倾斜的角度，整个坐姿会有种陷进去的感觉，包裹性很好，座椅也软，很舒服。内饰看上去挺有档次的，虽然看起来比较简单，但整体搭配起来还是蛮高级的，仿皮座椅，全景天窗，精细的缝合，各种材料，拼接元素用的很好，设计确实不错，除了中控大屏0.0。说起驾驶感受，一贯福特风格，底盘调校功夫扎实，不管是高速还是打急方向盘，车子都是非常的稳重，这样的车子开起来心里才更有底，而且音响效果是真不错哈，一首DJ，大型蹦迪现场。,2022-06-27,无锡,
很真的很想吃,https://www.dongchedi.com/user/145605744934247,新车已经开了一段时间了，不错不错确实不错，当初这个钱花对了地方。 它这个款式就是非常nice啊，阳光气息十足，又不失霸气，开回家馋了好几个同龄的表哥表弟，果然我的眼光是毒辣的。我是小个子嘛，开suv车视野稍微开阔些，虽然我是老司机，但并不影响我追求开阔的视野。 电动车开起来更轻便一些，然后声音也不会太大，上次走高速的时候尝试了一下自适应巡航。所有的操作都是在中控屏上，10.2英寸 的屏幕非常够用。主副驾驶座都是电动调节座椅，很适合我这种力气小的女生，冬天的座椅自动加热也是真的舒服很人性化。 我这边是北方嘛，这个车也没有出现说北方冬天会掉电严重的情况，但续航确实受了温度很大影响，不过问题不大哈。我用车的地方也多，经常出差旅游什么的都是自驾过去，拍照设备就放后备箱，一场大型拍摄用到的设备都装得下，后备箱电动尾门也方便开关，相机镜头这么贵重的物品确实需要这个功能。 空间很宽敞，动力也很足，闺蜜开油车的都直夸我这台车买得妙，我们一起开着到爬山坡，抓地性也稳稳的。整体的内饰显得非常的年轻，用料非常的舒服，我比较喜欢，毕竟简简单单的内饰可以自己去改造成自己喜欢的样子，但是用料这个就不是改造的问题了hhh。 讲到我的爱车不得不提一下它的花费啊，一个月还花不到我的话费这么多钱，省钱它是一把手。现在是开了大概一千九百多公里，电池还是嘎嘎猛，对爱车只有越来越喜欢，以上就是我对电马的评价啦。,2022-07-20,哈尔滨,
JW,https://www.dongchedi.com/user/2981489201125694,产生购买欲的第一个就是颜值，溜背和线条同级别没谁比得上，极氪不行，model y更不行。 内饰上，其实我觉得15.5英寸的中控屏幕还好，喜欢大的东西，仪表盘的设计用起来也很顺畅，上手快，最主要是材质很不错，座椅软，方向盘手感好。 配置中规中距，没有买长续航，家用我还是觉得标续性价比最高，多出来的配置对我来说可有可无吧 空间上，我183，体重80，前排空间没毛病，后排空间两个人没问题，三个人凑合，亮点在于座椅设计很不错，驾驶和乘坐的坐姿很舒服，后排隐藏式杯架给个好评！ 满电续航500km左右，夏天续航比较正，到冬天就不知道会怎样了，不过夏天能耗也不低，毕竟天天得开空调啊 智能化这方面实属一般，两次OTA都是无感升级，感觉并没有luan用，使用体验感觉没什么变化，多出来的功能不如给我上个carplay，不过车无完车，哪个车都有它的不足，OTA也是一个递进过程，只能期待后续更完美的OTA咯 驾驶感受，用舒适这个词来形容吧，因为不是那种开快车的人，所以开车是比较平稳的，不羁模式也就试过几次，大部分时间还是入胜模式多，提车时间也不长，整体还是比较满意，等待后续表现吧,2022-07-28,深圳,
电马没有carplay,https://www.dongchedi.com/user/2774787170254443,"【空间表现】
前后排都舒适，185身高不觉得顶。前后备箱储物空间都足够大。

【续航】
国标495，双电机耗电大，100%只有330。

【充电时间】
220V要充15小时，380V尚未测试。直流不到3个小时。

【智能化】
语音控制不会进一步追问，必须给一次性到位的指令。没有第三方app下载，只有百度地图，QQ音乐，爱奇艺。没有对应竞品。一年了国产版还没有carplay。

【购车经历】
首批定金首日大定，2021.12.31提车。没有什么赠品。


【驾驶感受】
无敌，加速极快，甚至考验到抓地力，地板油起步都可能前轮打滑。启停太快乘客很容易头晕。档位是旋钮，感觉不如怀挡好用，经常需要看着屏幕确认到什么档位。

内饰
屏幕稍微有点太直了，方向盘设计感觉略粗糙，充电口盖不会自动开关。

有人看有问题在再更新。",2022-12-25,东莞,
jdjd520,https://www.dongchedi.com/user/1289069450495486,改装类极品车，随便一改路上都是最靓的崽！内饰仁者见仁，个人认为还算不错，设计风格很新能源，但是用料做工比其他新能源车要好太多，座椅和中控摸起来很舒服；配置很满意，长续航版本，该有的都有，记忆座椅和老婆换着开很方便，而且矩阵式大灯简直不要太帅，但是福特的钥匙真是一言难尽呀，能整个好看点的钥匙就好hhh；空间整体情况还是可以的，可以满足日常需求，后排座椅设计蛮不错，虽然因为外观的溜背稍微牺牲了点头部空间，但是它的腿托做的比较长，而且包裹性很强，坐久了也不会感觉累，膝部也有足够的空间；最近续航又增加了，以前还是530左右，最近充满电能有个550多，能跑个400多公里差不多就要充电了，主要是天热，空调是真少不了；两次OTA让车机越来越好了，不仅解决了收音机问题，还优化了百度地图卡顿的问题，增加了很多人性化的设计，以后再也不用自己打开地图找充电桩了0.0不过如果可以把网抑云加上就好，我黑胶6啊；驾驶感受，怎么说，提速快，隔音好，音响棒，总结一个词：享受！,2022-08-11,郑州,
温柔盘锦8u8,https://www.dongchedi.com/user/184329392098088,"7月底提的车，当时对比了很多车，最终选择了电马，当时价格还涨价了，销售说可以推荐积分反正最后没送，然后开了3个月直接降价4w左右。总结一句话吧：始于颜值，伤于智能，败于厂家！
仅个人用车感受。
【空间表现】
空间表现确实可以，至少自己够用了，长期也就两个人用。后排做过的都说挺舒服，可能主要是坐垫加长的原因吧！
【续航】
平时只用快充，按照官方指导20%-80%电池使用充电30min左右，大概能跑300多点，还行短途够用，长途没怎么跑过。
【智能化】
很差，非常差，可以说是买了个上上世纪的电子产品，分几点吐槽吧：
1.首先很想吐槽的：升级就会有一堆bug，第一次升级模拟音浪没了，投诉了很久，客服说下一版本会解决。但是最近一次升级后没有任何变化！并且屏幕下拉菜单没了，客服说要用标准的地方滑才有用，但是10次能成功3次。然后挂蓝牙电话一直挂不了，车机地图卡死，导航延迟更严重了，都过了几个路口了还在叫走。给客服电话永远的反馈！
2.语音：百度的车机，叫小度也能反应。普通话2甲还经常识别不准，有时候自动冒出。更新后更卡了
3.辅助驾驶：就基本的跟车和车道保持和雷达。最新更新的会靠近障碍物弹出视频，很卡，看到弹出视频估计车早碰上了。
4.更新：无感更新，而且更新后出一堆bug，电话厂家只会永远的反馈，没啥用！
【驾驶感受】
驾驶感受除了智能化，其他还行，就是经常会有类似用力压弹簧的声音，客服解释是注重安全所以刹车盘很紧的原因。

【提车价格】
提了3个月不到降价4万多，据说4s店还能便宜2万，自己看着办吧。

【购车经历】
呵呵，提车一个月不到销售跑去比亚迪了，当时说的什么推荐的30万积分完全没有。。。其他还好
【最不满意】
智能化，是这个车压根不纯在智能化，感觉像上世纪的电子产品
以上仅个人用车感受！
最后奉上提车时候的照片",2022-12-02,深圳,
没长大的大胡胡,https://www.dongchedi.com/user/5756527154,外观:无懈可击，初见觉得车尾怪怪的，后来越看越喜欢，尤其是前脸鼻子斜45度，特别好看。 内饰：虽然不是真皮，也很简约，但很符合我的喜好，低调的高级感。 空间:因为自己一人开，偶尔同事朋友坐一下，不考虑拖家带口的话，绝对够用了，他们都说后排比别家稍微小点，我是没对比过，对我来说也没任何影响。 续航:其实日常用足够了，不跑长途不去外地，天天上下班通勤不到20公里，周末偶尔出去开开，对我来说两三周充一次电，完全没有续航焦虑。 智能化:无力吐槽，完全就不用指望车机给你带来任何科技感和高级感，僵硬的语音，听不懂话还净会打岔的AI，自带的点外卖送花买电影票完全不知所云，没有任何扩展性，拉胯之最。 驾驶感受:毋庸置疑，最提分的点，开起来太舒服了，无论是指向性，过颠簸的舒适型，隔音效果都非常满意。,2022-03-04,北京,
天涯海角59587,https://www.dongchedi.com/user/523783754482013,颜值时代，年轻人嘛，肯定是看外观买车的啦！既要有动力又要高颜值还要和别人与众不同，所以电马是最最最合适且适合的选择！ 购车一个月，总的感受很不错，买的GT，太喜欢GT 的轮毂了，20寸，看上去就很舒服。驾驶感受呢，一个字就是快，3.65秒激情无限！在没有监控的省道上跑起来是真滴爽。续航打个7折左右，我正常上下班，下完班出去溜溜，有家充，工作的地方也有充电桩，没事就冲冲，续航没什么问题。 但是讲道理，目前电马的车机智能化确实做的不如同级别的车，正常使用倒是没有什么问题，就是功能不如同级别的强大，之所以会买，因为销售说后面会免费给升级成8155嘿嘿。 乘坐空间坐四个人没什么问题，但是坐五个成年人就有点挤的，不过平时也就一个人开车，没事的时候带个同事，对这方面没什么太大需求，够用就行。内饰简约风格，让人感觉很舒服又不失它的优雅，最不喜欢那些花里胡哨的设计，按键功能案件太多，我都不知道怎么用....,2022-10-24,南昌,
顾频如幻S,https://www.dongchedi.com/user/93178649573,外观：不用说了，开在路上绝对拉风。 内饰：美系车内饰可能都不是很出众吧，不过个人比较喜欢内饰的织物覆盖。 配置：赶上了免费送360，bo音响系统可能我是木耳确实听不太出区别，日常用不羁模式，模拟声浪心情还是不错的。 空间：提车一个多月后排还没怎么做过人，轴距将将3米，驾驶位差不多到整车的中间了，空间我个人用是足够了。 续航：符合心理预期，跑了几次高速了，动力也很充沛，往返杭州-苏州完全不用担心。 智能化：车机确实有不如人意的地方，希望可以通过购物ota升级，不过我完全把它当油车开也足够了。 驾驶感受：因为还没过新鲜期，很多功能都在摸索，从油车过渡到纯电，开起来还有很多不适应的地方，目前跑了1100多公里，整体还是比较满意的。 Ps:附新老两辆车的合影,2022-07-22,杭州,
用户3306193254374,https://www.dongchedi.com/user/1922366067446199,外观:电马外观一直在线，未来几年都能打的存在，这是毋庸置疑的，开出去回头率超高，有次到学校边上充电，连小学生都说这是野马？帅气 内饰:内饰仁者见仁吧，我说感觉差点科技感，豪华感，中规中矩，中控感觉看习惯了也越看越顺眼 配置：21年国内上市，实际欧美19年上市，在21年前吊打一众车企，在23年算上比较落后，时间年限在摆着，国内电车更新快，太卷，一两年就落后，不过在现今还是中上游的水准 空间：后排空间有点点小，其他的非常满意，前备箱+后备箱，足够使用，希望更新车型后排稍微加大5-10公分，那就堪比B级轿车的后排 舒适性：前排乘坐还行，后排在颠簸路面建议慢慢开吧，太抛了，整个人都抛起来，估计是跟运动属性调教有关系，日常看到沟沟坎坎，比担心后排人员，驾驶位置感受尚可，去掉颠簸/抛动问题，舒适性就感觉完美 操控：操控性很好，运动指向精准，好几次速度稍快感觉要操控不过去时都过去了，灵活性满满，机动性特强，唯一感觉不足，过湾心里没底，速度只敢按限速，稍快点，估计会漂移，想尝试的可以试试，运动轿跑，没漂移不运动，性能待车友挖掘 动力：210Kw 430N扭力，这动力还会虚？满足定义运动轿跑，配合的轮胎不行，或者说个人操作不喜欢，太容易打滑，打滑的漂移感，车友多体验 满意点：操控(不包含过弯)+外观 不满意点：避震+轮胎，主要还是舒适性差了点，轮胎给人感觉就是刹不住，225宽轮胎，其他车企都给245-260，车子重啊，小窄台没信心,2023-11-27,深圳,
养西瓜的三文鱼,https://www.dongchedi.com/user/2981464118138568,3月提的车，出差一个月，隔离又一个月，4月底才四处开了开，跑过几次长途高速，不过主要还是上下班通勤，到现在1700km左右， 一、外观 因为外观买的车，一眼看上去就是帅，很帅 二、内饰 内饰个人不喜欢花里胡哨的，这种就也还可以，简约，黑色有格调 氛围灯只有7色，亮度和范围也有限，略显鸡肋 三、配置 配置该有的都有，360速度快一点就用不了了不太好，别的都不错；辅助驾驶感觉很靠谱，高速好用 四、空间 作为放大版的油马，后排空间聊胜于无，180的我主驾调到舒服的位置我后面男生就有点不太好放腿了 五、续航 标的513，表显330，实际没测过。一周一充，百公里15-16度电，充满50多块 六、智能化 格外需要吐槽的就是这个电马同学语音助手，生动形象展示了什么叫人工智障，和它说话要么听不懂，要么和你来一段百度百科，需要打开影像或者切换驾驶模式就得中控大屏一顿戳，古怪的是你说点别的它又突然蹦出来了；整个人工智能感觉像是2018年刨出来的，期待ota吧 七、驾驶感觉 动力强劲又不至于太一惊一乍，爽！稳！,2022-05-23,深圳,
升Stefan,https://www.dongchedi.com/user/95096669412,提车五个月了，里程已经超过16000了，感觉自己的选择没有错，外观号称500万以内最好看的SUV。购车经历当时还考虑了特斯拉modleY和沃尔沃电动xc40，xc40感觉小一号Pass了，特斯拉一是价格贵了五万，二5月份试驾单踏板感觉不适应也就pass了。提车是先验车再付款这点比较好，保险也可以店外买没有强制店内买。续航主要是高架和高速，夏秋季节续航400公里左右，最近降温低温到五度续航有5%的下降   充电时间 香菜没有送充电桩，用的是之前老电车其他品牌的7kw充电桩，车机可以预约晚上十点之后充电谷电只要三毛多  智能化 辅助驾驶很好用，上海高架和高速都支持，和之前的油车相比有了质的飞跃，丐版也有座椅加热和后视镜加热，后视镜自动折叠车机，胎压显示换了8155有明显提升，但是百度地图不是很好用  空间表现 前备箱有排水口，电动后备箱 安全配置 气囊有好几个还有前排膝部，侧安全气帘，有AEB主动刹车，倒车时候也有AEB，倒车碰到电瓶车离得很远也会刹停，还有盲区检测，晚上变道的时候比较安全。  驾驶感受起步加速比较快，还有在100时速以上超车时比较有把握  最不满意 360三个月试用期到期就没了，没有免费送,2023-11-17,上海,
MuscleTechnology,https://www.dongchedi.com/user/4108254190516723,最近又去试了下朋友的追风一问他也是在百信广场门店买的，给你们发表一下无疆对比追风的驾驶感受。 1:【驾驶感受】在试朋友的追风之前，我一直觉得无疆已经无敌了?平常超个车什么的在高速行驶也是得心硬手。结果上朋友的追风安全带刚寄好，他就给我踩了一脚，那感觉真的是人在前边走魂在后面追啊?。后面自己开了一下，总体来说底盘的和我的无疆后驱的驾驶感受是一样的，在高速行驶过程中特别平稳像是压在马路上一样，而且他是四驱的嘛所以在过弯掉头的时候我会敢踩油门，我的无疆我就不敢踩怕甩尾巴，真的是稳如老狗。美中不足的是他比我的车续航少?。 2:【最不满意】毕竟是同一款车型，除动力和驱动方式外也没什么区别，我自己的车也开了3个多月，最不满意的点就是他的车机是适合百度合作的，不过整个车机的稳定性还可以，目前没有死机过。希望电马以后把这个车机搞得功能再多一点，最好有个carplay。其他就没什么缺点了，主要是开起来太爽了老超速，问我朋友他也说开电马就没按限速开过，如国这是缺点的话这也算一个?,2022-08-24,广州,
kail1986,https://www.dongchedi.com/user/2661237799525597,1续航上我是提前启动全程空调的加上上来试试不羁模式几次现在重置出来488还算满意吧…… 2驾驶体验很喜欢感觉就是非常的细节调整可以做到.方向操控精准快速，高速也平顺.很满意了～驾驶体验三个模式都不错有特点.但是驾驶体验上唯一的缺点就是坑洼路的时候比较硬颠簸的. 3空间我是177的身高感觉还可以后排斜度很好坐着挺舒服的.腿部支撑很长这样坐姿很舒服看着不大但是250斤185身高的弟弟在后排也是舒服的.座椅有充气功能让我的腰靠的很好.质感也比较舒服.前面后面都有比较大的放东西空间.座椅也可以放倒.车身宽度也正好适合我这新手. 4智能一般般，反应不慢，就是不太智能化.比如说打开360必须说打开360影像才可以.感觉它很笨…… 自动泊车需要很多选项等不是很方便. 总体还是挺不错的～驾驶体验很不错和外观又比较在我这个颜控审美上.所以来发个帖子支持一下电马！,2022-07-14,上海,
用户3737304587791,https://www.dongchedi.com/user/2155478524900606,目前行驶10000公里，综合电耗在15-18，储物空间优秀，后排两个人没问题，三个人稍显拥挤，毕竟尺寸在这里，为了车头颜值牺牲了一点内部空间。 充电：家充，成本低廉。一般周末有空的时候充满，其他时候基本随缘，看心情，没有续航焦虑 续航：城市道路表显实际1:1，跑高速要18的能耗，温柔一点也可以控制在16 外观：前脸，大灯，线条，溜背都是让我着迷的地方 内饰：我能接受，而且挺满意，主要这回事，都有自己的看法，有喜欢简单的也有喜欢豪华的 驾驶感受：这个不深入描述，一句话，该加速的时候它不会拖沓，该减速的时候它也很平稳，总之，没有辜负任何一个排头的绿灯 智能化：克服一下克服一下，8155免费升级已经出来了，不远啦不远啦 综合：满足我对车辆作为交通工具的所有幻想。,2022-09-28,广州,
用户7734361721194,https://www.dongchedi.com/user/1816818657007326,外观：前脸和尾灯深得我心，打算整一个GT的轮毂，有没有老哥出原装的？ 内饰：越看越耐看，简约风格，带点科技感，七色氛围灯nice，中控大屏需要适应位置 配置：价位合适配置满意，隔音、隔热效果都不错，安全配置厉害，没舍得花几万加个记忆座椅 空间：储物空间无敌，后备箱出乎意料的大，乘坐空间前排满意，后排因为车顶和座椅的设计，头部空间较小，其他没问题。 续航：纯市区代步上下班，续航不焦虑 智能化：车友群里卡顿死机的情况还未出现，从提车到现在一个多月一切正常，要写死机问题要看后续，车机使用体验一般 驾驶体验：动力输出猛，操控精准，底盘略硬，避震稍欠佳，刹车不习惯，顿挫感强。,2022-06-30,无锡,
用户429060702733,https://www.dongchedi.com/user/963616544406340,车型外观很帅，前脸的冲击力太凶了哈哈哈 油车改电车，过渡的很丝滑，上手特容易，福特还是挺考虑油改电车主滴 【充电时间】 家冲，基本20%-80%大概30分钟左右，到80%后面会降慢充电速度 【续航焦虑】 有续航焦虑，所以选择的是长续航版本，刚开500公里左右，很满意，算了一下基本9折左右 【动力表现】 考虑家用车，说是说6.9秒破百，但给我感觉要不了6.9秒，一踩电门，这速度唰唰唰的就上去了，满载也不见动力下降，当时提车的时候我一家子都过去了，车上可以说是座无虚席，不得不说电马空间挺大的，后排坐三个人都还是很大的空间余出来，后备箱挺大。 【智能化】 唯一有点不足的地方吧，后面会升级8155也不慌，买的长续航版本有辅助驾驶包送，刚开始打算买标续说不送辅助包充电桩啥的，果断还是下顶长续航！ 【购车经历】 5月份打算买车，就开始关注起了电马，试驾完就想订电马的标续，但那时候又迎来了电马的涨价，后面也没看到心仪的车，所以就搁置了，现在电马降价，当时标续的价格可以买长续航，虽然是库存车，但和销售沟通了，只接受3个月以内的库存车，还有我就下订了，提车速度很快。 【驾驶感受】 没得说，当时试驾的是GT，感觉避震过滤还是有点硬，现在长续航版本，19寸的轮毂舒适度刚刚好，动力也不虚，挺满意。,2022-11-24,长沙,
用户2894181360279,https://www.dongchedi.com/user/4160151851110544,"之前一直都开的油车，最近想考虑买电动车，也自己了解过小鹏、蔚来、特斯拉的一些新能源，因为个人原因不喜欢特斯拉且不习惯单踏板模式，所以在我的买车打算里面特斯拉就排除了，后面和朋友到凯德广场逛街时发现居然有一家电马，外观颜值真的很帅，大概问了一下价格，发现也在考虑范围内。就回家了解了一下电马，在懂车帝上面了解了他们车型的一些配置，因为第一次买电动车，还是要谨慎点好。
    因为我个人是不着急用车的，就看了差不多大半个月，对比了其他一些车型，最终决定今天来先试一下电马。
    进来销售也很热情的接待，了解到一些配置、权益等等和我在网上了解到的都一样，然后我就去试驾啦。
    试驾感觉还可以，挺不错的。首先就先说他的外观吧，我真的得打满分，外观真的长在了我的审美上，肌肉线条明显，有个性，哈哈哈。内饰的话个人觉得还可以，没有给人惊艳的感觉，就是一种很平平淡淡的感觉就是一种简约风吧!再就说到操控了，他们的操控还挺不错的，开起来底盘够稳，刹车也可以，能刹得住，销售说是Brembo的卡钳，所以刹车好。空间的话本人180，坐在后排是剩下的距离大概有3拳，坐垫呢也可以，挺舒服的。要说缺点的话感觉试驾过程中的刹车有点太灵敏了，会有点头的情况，可能还是根据个人驾驶的习惯有关吧。
     总体来说感受还是可以的。但家里人也建议说要对比，个人也觉得要慎重，后续还要试一下小鹏。",2022-07-31,,
薛定谔的猫老大,https://www.dongchedi.com/user/3034212928,"电马开起来很舒服，底盘扎实，转向指向性好，方向盘偏重（可能对女生不太友好），其实调教的油车野马比较像。驾驶质感来看，和我开过的油车定位差不多的SUV比起来，没找到太合适的参照，感觉比森林人还有马自达的CX5好一些，个人感受远好于CRV，RAV4，Q3这些车。智能化做的可以，ACC调教比开过的本田，现代，马自达这些都好很多，用了两天试用版的Blue cruise，高速上不会出现像例如本田的那种突然重刹车减速还有最大转弯半径过大，会偏到别的车道上面的问题。续航差不多7-8折吧。

因为上海车牌问题，买车时候只看了合资的新能源。买车的时候还试过大众的ID4还有Volvo的C40。其实C40的驾驶感受比电马舒服一些，但是差别不是很明显，用了很多环保材料，所以贵了将近10万块钱，而且体积小了一些挺劝退的。C40中间后视镜视野太小，后排头部空间也小，就没考虑。XC40和C40很像，但是感觉作为SUV的话看起来太小了。大众ID4的发动机舱就和油车基本一样，虽然好像说是重新设计的，但是看起来就是油改电。整体外观来看塑料感比较重，开起来底盘调校没那么扎实，而且底盘滤震做的不是很好。

我买这个车，平时对续航，加速，音响这些没什么要求，就当普通家用SUV，就买的低配版的。驾驶模式的话，因为我开油车开了快十年了，最后日常选择的是入胜（标准）模式。细雨模式松开油门之后减速不太明显，不羁模式高速上减速又太明显了，入胜感觉更舒服一些，更像油车。驾驶的时候我把自动驻车关了，这样起步的时候更顺滑一些，不会很突兀，这个在小地方原地掉头或者停车时候挺重要的。空间角度来说，空间和之前的大切诺基还有其他的一些开过的美系车差不多，前排空间很舒服，后排有点挤。但是腿部空间差不多20cm左右也很舒服了。主要是座椅有一定角度，像是躺在椅子里面。相比之下C40坐的就很直了。

要说缺点的话，虽然开过bronco一段时间，但是还是感觉旋钮档位用着不太舒服，总想去看挂到了哪个档位，还有一脉相承下来一直不变的难用的无线充电，得摆的很正，要不然就是充电很慢甚至近乎充不进去，但是手机还很热。还有就是，如果可以手机app上输入目的地，导航自动导去那里就更好了。

我看网上好像有说屏幕太垂直了的，但是开车，特别是美系车开的比较多，就会感觉这种车最舒服的坐姿都是把前排座椅调的比较靠后的位置，如果是这个角度的话，那个屏幕角度其实是很舒服的。",2023-04-02,上海,
E з,https://www.dongchedi.com/user/96132612308,提车作业，坐标魔都，因为今年新能源大牌的原因买车，买车前看了很多车子，特斯拉3/y是我关注最多的车子，我是属于等等党，想薅羊毛的，但是因为当时特斯拉有波回弹价格2k，我呢又不想等了就看了领跑和比亚迪，还有电马，当时对领跑的c01看的上，但朋友也选择了这台，就考虑到还是换个品牌再看看，一次无意中看到了电马，觉得外观确实好看，在深入了解了一下觉得价格什么的还是没到那个点，不过那次加了销售的微信，回家不到一个星期了解到电马降价了4w，经过预约上门试驾体验后发现这车子的整体质感真的很扎实，全家人都很认可，考虑再三就果断买了，现在车子已经开了快一个月了，跑了1300km，我来说一下客观的真实感受吧 【空间表现】 前排中规中矩，后排略显紧凑，确实空间不是很大，前备箱可以放蛮多东西，这点确实不错，后备箱空间也很大，我和我老婆的行李箱都是大尺寸行李箱放进去没有任何问题，再放一些日常杂物也是没有问题的 【续航】 我是属于激烈驾驶的，猛给电的那种，也考虑这样对车子不好，但是我还是喜欢，车子毕竟是取悦自己的么，车上带人就不会这样开了，这个季节我也是开空调的所以买车的时候车子数据是513km，我第一次充满电能到520km，跑了一段时间实测350-360km吧，当然你要是平稳驾驶也有能跑400km多的 【充电时间】 还可以能接受，一般充电都是晚上或早上，半小时足够了，半小时我一般都是从20%-30%能冲到70%-80%，也能跑个几天 【智能化】 这就仁者见仁 智者见智了，你要硬拿车机和娱乐化对比，那特斯拉和电马比就完胜，电马的车机确实一般，但我觉得就还好了，我有手机，车子能帮我辅助驾驶，我高架早晚时段都测试过，还是很可以的，远程启动都有就可以了，我对这个不挑，不过有一点我必须吐槽app车子有的就是有了，没有的也不能下载了，例如有的：爱奇艺、qq音乐、美团外卖？嗯美团外卖，还有百度地图，就确实让我觉得娱乐化的东西确实局限，也就只能拿车当车开，这点我是勉强能接受，我说了这些选这台车的话还是要看你们自己需求，毕竟我们国产新势力已经把KTV和电竞都搬进车里了。,2023-06-07,上海,
会泡妹的柠檬茶,https://www.dongchedi.com/user/93145986836,"lai了 lai了 
第一次在懂车帝写感受 
有点小紧张
有什么不同见解 各位老哥评论区手下留情

首先是外观，这小电?有着鲨鱼鼻的前脸，还有凹凸分明的肌肉线条 野马标志性三柱式车尾灯 车顶的大溜背 都狠狠拿捏了我 这颜值绝对秒杀所有新能源中型SUV，model y  蔚来EC6 埃安……都不够看，而且现在这车路上还很稀罕，基本上我开出去就是整条街最靓的仔，回头率贼高，有次商场停车还有妹子跑来问我，差点就可以把自己单身问题都解决了

其次是空间够用，有着前后备厢，相信我一个小家庭的人绝对够用。而我个人很喜欢前备箱，因为有排水口，跟朋友出去野营就拿来冰饮料是真的爽的一逼(还能当个洗东西的盆)

然后到内饰是比较简单的，就很有层次，中控屛直直的无所谓，习惯就行。音响是日本的先锋，高配才有B&O(早知道再咬咬牙买辆豪华版的)

最后想特别说的是他的动力和操控，毕竟是用野马的标志名称，这方面肯定要冠绝群雄。三个模式轻语  入胜 不羁分别就是节能 经济 运动，入胜续航个人感觉最好，仪表数据很稳，知道官方续航打个七八折，但还是能超出我的期待值。不羁，试驾GT版 一脚电门车速去到130，140，这推背感，这加速，同等价位的SUV基本无人能及。底盘调校可以，过减速带平滑，就是等红绿灯有点头感，可能SUV都有的通病吧(第二张图是长续航后驱豪华版！)

强烈推荐去试驾一下！！！",2022-05-14,广州,
MuscleTechnology,https://www.dongchedi.com/user/4108254190516723,"自从买了电马以后，朋友看到了都来问我这车怎么样，我的好兄弟上个星期发微信给我说陪他一起去试下电马gt怎么样，我们约了周六又来到了百信广场，销售兄弟 依旧是热情的准备好了试驾车辆并且提前为我们打开了空调，废话不多说直接给你们说试驾体验吧。

【驾驶感受】做上gt的第一感觉是这车要比我的单电机长续航的低，行驶起来方向盘也要重的多平常我的车都是可以单手打方向盘的(这个行为不安全大家不要模仿?)，开这个车只能老老实实的两只手稳稳开
，问销售为什么方向盘会变的更加沉重，销售告诉我说是为了转向更精准因为这车太快了高速行驶更要求精准的操控。刚开始我不以为然心想这车能快到哪去，应该跟追风差不多吧，当销售提醒我坐稳扶好的时候，我就知道我大意了(打个比方追风假如是弹出去的那gt就是飞出去的）当时真的有瞬间晕厥的感觉，自己开的时候会发现这车的底盘真的稳不愧是赛道底盘，他的动力虽然很大但是一点都不暴躁没有让你感受到掌控不了这车的感觉，像一个特别有底蕴的中年大叔?，但是！！！这车的极限操作是真的有安全感，在急转的时候都没感觉到什么侧倾，底盘中心稳稳在车身中心，而且他的brembo 刹车也给了我极大的安全感让我感觉开多快都能刹住。

【乘坐体验】
虽然看起来第一感觉这个车后排的空间真的很挤，但坐进去真的没有感觉很拥挤反而是很舒适的感觉，我问销售兄弟为什么，他是这样给我解释的在大多数车型里对比我们车的坐垫是加长好多的，举个例子特斯拉的座椅长度大约在41厘米！电马的座椅大约在48厘米！！所以说他看起来会窄，反正我觉得够用了，我183座后面也不难受，平常都是自己开自己爽最多就带两朋友足够用了。


【最不满意】
要说这款车最不满意的点那大概是续航了吧只能跑300多公里，真是超跑的续航?福特这点真的应该学学其他车型把续航提升提升。

【购车经历】
从我提车到我兄弟来看车，一直是我那位销售兄弟服务我们，全程都是有问必答，也没有任何的不耐烦，电马的销售真的是yyds ，虽然我也挺不好意思的天天麻烦人家试车，但是人真的很好微信也很及时，提车的时候也是一直在问我顺不顺利有没有需要帮忙的，这点我给满分。

希望这边车型简述能够帮到大家早日提到自己的爱车。",2022-09-22,广州,
