字段1_文本,字段2,时间,字段3
送你回家写作业,"护卫舰07是我的第一辆车，没有其他车的驾驶体验，所以也没有横向对比的心得，仅以个人对车仅有的一丝丝模糊又朦胧的想法和买车前的试乘试驾来谈一下感受。（我买的100旗舰版本，标题填错车型了)
【买车经历】
    最初想法就是买一个空间大、二十万左右绿牌（不想被限号）混动（不想有续航焦虑）六（七）座车（有全家出游的想法）。主要使用场景就是市区上下班通勤，要求舒适省心。前后看过问界M7（车机确实厉害），理想L8（就是看看30多万的车长啥样），领克09（第三排空间得点名批评一下），唐DM后得出一个结论：想要第三排能舒舒服服坐人，SUV解决不了根本问题（只能应急）。再加上六（七）座满座的使用场景太少了，果断转投大五座。
    这之后看了吉利星越L混动，感觉空间稍微有点小，有点压头，车机聊胜于无。我是过完年上班第一天去的，他说试驾车没充电试驾不了，我就走了。还看了途观L Phev，没选它的原因有三点：第一是销售老诱导我贷款买，应该是想收我金融服务费，我觉得不太实在；第二是这车第二排不是纯平，有凸起，有点介意；第三是没有外放电，我周末郊外露营吃个火锅搞不成事。别克昂科旗、昂科威也看了看，美系车确实好看霸气，但内饰有点欺负人，全是塑料，销售心情可能不好，我看了半个小时没人搭理我，然后我就走了。传闻两田卖的都是毛坯车，我就没去看。最后看了护卫舰07，感觉车机照着问界确实有点差距，空间照着理想确实有点差距，底盘照着领克确实有点差距，但我一想我兜里就20多万，不应该有这么多想法。钱不到位，就肯定有自己看不上的地方，得折中。
    护卫舰07的总体感受就是中庸，没有明显缺点（仪表盘确实难看），也没有明显长处（但它相对我看的这些车来说价格低），最后就定了它（主要是差钱，有钱我买理想了可能）。
    这车目前开了3000公里左右，简单谈一下驾乘感受。
【外观、内饰】：萝卜白菜各有所爱，不做评价。基本能触摸到的地方都是软包，个人感觉可以。仪表盘最接受不了，感觉是雅迪供的货。
【配置】：没有方向盘加热，没有智能上下电。
【空间】：这是我买它的重要原因。感觉比途观L PHEV稍大，后备箱空间不错。头顶没有逼仄的感觉，本人身高180。
【续航】： EV（纯电）+SPORT（运动）模式电量从100%到25%，在市区通勤能跑80公里左右，目前看没有虚标。HEV（混动）+ECO（经济）模式（电量50%，强制保电50%，基本全用油）市区通勤5个油左右。高速HEV（混动）+SPORT（运动）模式显示7个油左右。如果手机端显示的结果没有问题，那油耗表现还不错。但油表显示的续航里程就是在胡扯，我跑两公里它能掉10公里，靠不住，别看！
【智能化】：车机界面设计勉强能看，操作逻辑不是这个时代的东西。车机能刷机Diy，高德地图用最新版的得上论坛找，其间还有涉及到root权限等等。这这这不都是安卓刚盛行年代的事吗？自由度大，成熟度欠佳。总体感觉够用，和档次没什么关系。
【驾驶感受】：
一、胎噪确实是大，路况稍微烂点，低俗行驶时感觉车有低频的轰头噪音，可能是隔音好凸显出来的，最接受不了的地方。高速上噪音控制还行吧，发动机刚介入的时候噪音还是挺明显的，等他上会班进入状态了还可以，基本感觉不到。
二、速度稍快过弯时候侧倾比较大，我的靠着点扶手箱。
三、过大的坑包坎时候能感觉到，但是没有不舒服的感觉。晃晃悠悠的就过了，没有嘣嘣的顿挫感。
四、辅助驾驶能用，车道保持基本能保持居中，有时候一直往右靠非得帮他一把不行，没有左右画龙的情况，市区堵车跟车距离太远，老被加塞。高速行上使用ACC自适应巡航感觉不错。
五、至于网上说的什么路面沟通感啊，方向盘精准啊，方向盘空回啊啥的没啥感觉，主要是咱也不懂。
【最不满意的地方】：胎噪大，仪表盘设计拉垮
【总结】：这车就是满足了我的三项需求：绿牌，空间大，没有续航焦虑，价格也在我承受范围之内。买这车是想法和钱包的妥协，甘蔗没有两头甜，除非你是真有钱。至于说花20多万买比亚迪脑袋有问题，买新能源交智商税的言论一概屏蔽，我已入坑感觉良好。个人感觉合资车靠情怀信仰卖车的时代马上过去了，对于国产车我还是充满期待的，让子弹再飞一会吧！",2023-04-02,郑州
细腻星空2V7,【购车经历】 2022 年 3 月份开始看汉 dmi，感觉比亚迪这个 dmi 系统很适合我的家庭用车环境，但试驾后总感觉底盘质感和刹车系统差点意思。后来听说比亚迪海洋网要出海豹和护卫舰07 的消息。我就把汉 dmi 退订了，决定把海豹和护卫舰07 都先盲订一下排个号，再做是选纯电轿车和混动 SUV 的选择。海豹是先预售上市的，也试驾过了，从操控到外形感觉都不错，但是考虑了很久，另外也是选择了黑色内饰也要等很久，考虑家用而且要有过年过节长途跨省的需求，还是再等等护卫舰07。护卫舰07 上市后，205 旗舰一下就感觉适合自己家用，市区用纯电，长途用混动的需求而且底盘算是比亚迪很用心改善的一款 SUV。最后决定退订海豹，选择了护卫舰07。 【提车价格】 提车价格没有优惠，加个 4700 元的保险落地。 【驾驶感受】 感觉是我开过的任何品牌的 SUV 排名靠前的，提出表扬的是比亚迪这次做的底盘比唐好不少，车机系统也是比较新的版本，可以说算得上很好的家用属性 SUV。 【油耗】 205 续航的版本，在市区跑就用纯电，正常开跑 200 公里问题不大，还没试过高速，准备五一去跑一趟跨省之旅。 【亮点配置】 苹果 NFC 真的很方便，四连杆➕fsd 的感受确实比之前的 SUV 提升不少。 【最不满意】 都二十大几万的车了，你还给我装佳通轮胎，胎噪会比马牌或米其林之类的轮胎大一些，刹车制动距离也会远。还有就是不给装个车内 220v 的电源插座，海豹那种主打运动的车都有，为什么护卫舰07 不给装一个，想在车内用电不方便。别的配置还好。最后非常感谢圈主推荐。,2023-03-09,石家庄
用户8197125852939,车整体还可以，购车服务有一说一就那样，付完全款也等了两个礼拜才开走。车子空间很满意，就是开小车习惯了开这个倒车有点费劲，还得在适应一下。油耗还好，hev高速大概100公里5.6个油，记得强制保电60%以上就可以做到。 【驾驶感受】 驾驶感受在高速上底盘滤震还行，但是这个底盘感觉偏软，连续过坑容易开出一颠一颠的感觉，不太喜欢这种滤震风格。城市开就没有这种情况 【油耗】 市区强烈建议就用ev，我没按充电桩，反正大概30多分钟能从35%冲到85%我一般只冲到85%，这玩意我觉得跟手机一样，再充可能类似于涓流，伤电池 【续航】 一个月反正ev大概在200公里 hev在350公里（主要上了趟高速），我就加过一次油，到现在还有个32%左右吧，那会也没加满，整体续航我觉得还行，后续有机会再试试看续航吧 【亮点配置】 ACC和智能领航就是高速福音。语音助手也算比较优秀，就是有时候你放歌的话小迪可能听不着，得大声说话才行 【空间表现】 空间没的说，大5座4820 2820还有啥不行的，觉得空间不行建议买仰望u8 【最不满意】 总体来说防碰撞预警和各种各样的驾驶辅助警告会一下子一股脑的警告你刹车啊啥的，没用过这种的可能会突然吓一跳，至于那个在车里开车门的海螺，有一说一我到觉得还凑合，就是占地方，有时候会磕着孩子。然后就是nfc钥匙，安卓竟然有不支持的品牌，苹果反而x以上都支持。。。我甚至还得为了用这个nfc钥匙买个iPhone当备用机，真是服了,2023-03-24,天津
新手舰长劈波斩浪,"100KM，趁着安装底盘护板的机会，来4S店取大本和行驶证，顺便谈谈这100公里驾驶的感受吧。
【驾驶感受】
[快速路]：EV+智能保电50+标准模式
         从4S店满油满电开出来，回家需要走快速路，限速80，我最高踩到88，总体感觉整体噪音控制的非常好，很安静，动力基本上随叫随到，对比我之前的车，刹车更高一点。可能是以为自重比较大的原因，方向盘也比原来的车紧一些，但是调头之后自动回轮还是比较顺畅。转向精准性比较好，整体比较好开！
        唯一比较卡脸的事情就是，我没整明白自动驻车在哪设置，我以为默认都有，结果红绿灯一松刹车，出去半个身子！?
        全程满员，后排乘坐感受很好，五档调节靠背得劲！

[市区]：HEV+soc50+eco模式，能量回馈标准，满油21%电开始
        把电一顿霍霍之后，周一上班了，特意在稍高峰一点出门，让小舰感受一下压力?，启动之后发动机的声音还是有点的，不算大，比起我原来的油车要小太多了，但是比起纯电续航肯定要大一些。车外听明显，进车之后就好了很多，车内的抖动也有一些，也不算很大。
零下5℃左右，这个表现我比较满意。
        等红灯和堵超过30秒以上我开了自动驻车，其他时间还是保持松刹车就走，40分钟左右到单位，比平时不堵车多了20分钟，整体就是比较省脚脖子，但是能量回馈就不是特别多，反正一直是20-25之间徘徊，表显油耗5.8，但是我要一直不充电，估计会增加个1L左右吧。

[高速]绕城高速，限速100，开了20公里，跑到总体感觉就是耗电确实快，然后就是不知不觉总超速，随便踩踩就120了。高速状态下，转向和刹车表现不错，胎噪不明显，风噪略有增加！

100公里感受就这些，这周末准备跑一下丹东，搞个长测，有了更多的体会再跟圈友们交流！

愿所有护卫舰长劈波斩浪，勇毅前行！",2023-03-27,沈阳
俺开车安全第一,"开着很轻松，虽然很笨重但开起来很舒适，100公里续航满足我在城市的需求，交车的时候加了200块钱油，现在还没用一半，小区楼下物业安装了接地线，充电基本不花钱，充电时长大概在7小时左右（电量剩余20%）现在来看，不出远门，用车费用基本为零，很nice；内部空间超级大，我185的身高坐后排，膝盖离前座还有两拳多，头上离车顶也有不少空间，反正空间是很大；行驶过程中降噪做的也很好，就是如果空调开的比较大时内部噪声会有点大（一般开到2挡就没啥问题，开4档向上噪声就比较明显了），不过开两档风力也可以，空调降温还是蛮快的（有个发现，就是如果启动车辆只是按一下启动键，空调降温没这么快，但踩着刹车按启动建后空调降温明显感觉块一点，不知道是不是错觉）；行驶过程中我的这辆车方向有点偏右，就是如果方向盘不动，一直向前行驶会有一点向右的偏移，大概就是本来我车左侧贴着黄线前进，行驶200米左右后，车右侧贴向了黄线（也可能是我个人无意识的动了方向盘），但影响不大，稍微动一下方向盘就行；方向盘很轻，反正开着挺舒服，满足我的需求；车机系统也很好用，小迪yyds，如果有功能一时间想不起来怎么开启或关闭，可以直接让小迪来执行，很方便。
         总体来看，这车还是很nice的。",2023-07-18,阜阳
AR阿忍,车子和车机从各方面来说都是很钟爱的，空间动力还有智能化等方面完全可以满足我个人和家庭的各种需求，熊孩子最喜欢那个大电视了😂。家里有一辆15/16年的xrv，虽然也很省油（表显6.8/6.9），但是应该肯定比不了护卫舰07的。空间方面没法比的，175的身高驾驶xrv会有点挤的感觉。动力的话对1.5/2.0还有T不T的，没啥硬性要求所以也没有特别了解过，从我个人平时驾驶过程中，都可以满足的，xrv市区高速都跑过，虽然有点肉但是也还可以，超车都行，120+都挺稳的，07的话目前没有上过高速，市区Ev模式跑了大概60公里多（HEV应该是0），像这个正常超车，红灯起步都是随叫随到（我开的是动力反馈普通模式，还有ECO也开了），还有点前窜，推背感挺强的！外观内饰就不说了，毕竟每个人的审美不一样，萝卜白菜各有所爱吧！配置呢，是因为个人平时的话还是骑小毛驴多，单位也不远，所以对纯电续航里程数没有太大的要求，而且参数上满油满电1200公里（就算冬天夏天开空调等打个7/8折也还有1000左右），完全够用了，小区也有充电桩，随时都可以充电，也没打算自驾游跑很远的地方，所以选的是100KM版，至于为什么选尊贵而不是旗舰，个人感觉多的那几个配置平时用处不大，也就没上旗舰了。 目前来说各方面都是很钟爱很喜欢的，唯一不足的就是车上没有一键锁车门锁车窗的功能（儿童锁的话是控制后排座的，亲测有效，上了儿童锁后，从车内后排座是没法打开车门和车窗的，我想要的是全车的，包括主副驾驶位的那种），之前的xrv就有实体按键的，很方便，很安全。如果后期能够通过车机设置的话也可以接受，毕竟会更安全吧。 最后就是祝愿广大车友们都可以买到钟爱的车，行车安全！身体健康！财源广进！后期会尽量补充一些用车感受和油耗电耗等内容。 自己车还没拍照，车子图片水一下将就看看吧，另外两个是APP截图的。 【最不满意】 4s店购买了两款除了交强险商业险的险种，费用9000+，自愿的😂！还有就是服务费3000，底盘装甲1048，送了首保+9次保养，烧烤架，车载吸尘器，地垫，两个玻璃水杯，车膜，一个收纳箱,2023-04-15,合肥
老拙Xx,今年1月份还一直在唐和汉之间考虑，直到3月份去海洋网看到护卫舰07，感觉比唐更年轻化，去看了两次总感觉他前脸和内饰有些过分设计。凸起的仪表盘不太喜欢！并且一点优惠都没有，家里还有两辆车不是刚需就再等等了。 当时综合考虑 唐虽然上了新款冠军版加固了底盘，但这个一直沿用18年设计的前脸没改内饰橙色过于low不考虑。（喜欢唐DM的前脸） 汉最好看的是车身姿态和内饰，但可能到后半年才会有新款，老款后交叉臂包括三角杆羊角全是铁质筷子支架，底盘很重要也不考虑了。 直到偶然又去到海洋网看到护卫舰07，感觉之前不能接受的在开起来也不那么难受，底盘用的是四连杆FSD可变阻尼悬架乘坐感很舒服，解决了我心里对底盘的顾虑，后排座椅乘坐感比家里的大沙发老天籁还要舒服，包括中国结的后尾灯和C柱灯条也会比唐更加的年轻富有活力，买了后越看越香。座椅通风夏天简直太实用，而且根本用不着太多油，基本商用快充17块钱跑100公里，比起烧油来说很省了，总体开着很满意。 开半年以来我认为的几个缺点： 1、为了保证后排空间主驾和副驾的座椅是不能往后排移动太远的，平时充电想躺下休息时后排空间明明很大，但是移动距离基本等于没有，前排腿伸不开。 2、语音识别想听什么什么歌，只会打开也只能设置默认app酷我音乐，网易云音乐不会自动播放需要自己点击才能操作很不方便。,2023-04-21,南阳
驾仕派,【驾驶感受】首先我在满电的情况下开启ev模式，这个电机的输出功率已经可以达到传统2.0t峰值功率的那个标准了。当你开的第一脚下去会觉得加速感非常的好。然后中段的加速也不弱，后段也还好，所以在城里边走走停停，你是可以获得一个很好的驾驶体验，再加上如果堵车的话，这车没有太多能耗的情况下，你心里边是有一种满足感的。所以说在城里边通行基本上可以当做一台纯电车来使用，那如果要自驾游怎么办呢？开启 hev模式！这个模式下发动机它会协同去工作，并且扮演好自己的角色，一方面是可以在低功耗的情况下充当发电机的角色，另外一方面它会充当一个轮上直驱的工作。虽然1.5t马力不大，但是热效率很高，传动效率和匹配的兼容度各个方面都很好，所以电机和发动机在协同工作的时候，你不会感受到什么震动顿挫，甚至说它的噪音控制都非常的不错。那如果在发动机介入的时候，你轻柔一点的话是完全感受不到那种油车的嘶吼的。想想那些1.5t高功率的发动机，匹配的再好的CVT有这车平顺吗？没有，加速感有这个车强烈吗？没有。这就是护卫舰07给我带来最深刻的感受。 护卫舰07的操控感受各项的设定都比较适中，方向紧实度我觉得比较合适，适合各种人群，油门刹车踏板的阻尼也是比较适中，不软也不硬。然后在视野上面我觉得护卫舰07也做得相当好， A柱不挡视线，同时A柱和后视镜之间的空隙也能观察到一些细节，挡风玻璃够大，透光率也够多，你会觉得开起来很轻松，没有一点毛病。,2023-02-27,
该水军已存在,"特别中意这款车的外型和空间，看着确实有舰艇的霸气又兼顾海洋的风格。过了追求速度的年纪专注于家庭用车需求，前后排空间足够大，驾乘感受良好。我对内饰的要求不高，没有不满意的地方，许多车友吐槽的海螺把手老人开门的时候确实要解释一下，我个人开门觉得挺好使劲的。纯电模式提速确实快，奈何纯电续航只有短短100公里，而且保电模式只有80%能用纯电。混动模式提速就要差点，多速情况下都是混动模式，两吨重的车提速中规中矩吧，毕竟追求的不是推背感。
买护卫舰前看了领跑C11，试驾感觉也不错可惜家里装不了充电桩不然就上C11了，性价比个人感觉比同级比亚迪高。在BYD4s店比较纯电宋的时候看到了护卫舰，被外观和空间吸引犹豫几天还是下手了。比较坑爹的是07没有入门版豪华型只有尊贵型，L2的辅助驾驶对我来说没啥用，上手后研究了几次感觉用着也不顺手，老实说即使用得顺手我也不会用方向盘捏在自己手中最保险。个人觉得他的辅助驾驶做得一般。车机反应还是很快的毕竟新车，用几年后就不知道情况了。
油耗情况周末重庆出发到四川都江堰青城山80%的油92%电，表显里程884公里，实际跑了590公里续航达成率67%，但是没跑到趴窝估计还能跑30公里，快乐表?混动车就是跑得越快续航掉得越快，我130、140、150、160都在跑掉电快。续航没想象的好但两吨重的车，加三个大人一个小孩，个人感觉还是在能接受范围内。另外车速越快胎噪越大，越慢越安静，这个没办法除非换轮胎再加隔音。在城市道路跑就很安静这也是我选新能源的原因之一。
吐槽一下家里车位窄的就慎重考虑一下，我家老小区停个车非常考验技术，停得不好不是隔壁开不了门就是自己开不了门?
顺带说一下都江堰的出游，都江堰景区倒还好都江堰这个市是真的拉胯，各种修道堵车。红绿灯的设计我一个重庆人感觉都看不懂，一个十字路口感觉八面来车都在路过。青城山必须停车坐观光车或者走上去纯纯大冤种。
  感谢圈住推荐😄",2023-07-09,重庆
知车一分钟,【最满意】动态表现，个人感觉比我们之前试驾的唐DM-i要更舒适 【驾驶感受】整个试驾中最满意的就是它的驾驶方面： 1：起步或者急刹车，车身姿态非常好，没有明显的抬头点头动作 2：整个油门、刹车非常线性，踩多少有多少 3：静谧性特别好，整体的风噪、胎噪控制的很好，时速在60左右是没有明显胎噪的，然后我们主要是用的HEV模式，座舱内也没有明显的发动机噪音 4：底盘调校偏舒适，因为标配了悬架软硬调节，所以对细碎震动的过滤很干脆，像下坡的减速带震动可以过滤一大部分，基本上没有明显感觉 5：整个车身的侧倾控制到位，过急弯都没有明显的侧倾表现，个人觉得比自己开的缤瑞cool还控制的好，然后我觉得主要原因可能是因为这款车整个车重达到2吨多，整个重心比较低，所以侧倾表现非常好 【乘坐体验】 1：作为5座的中型SUV，空间是其一大优势，我身高172cm，前排调好驾驶位以后，后排有一小臂的距离，用拳头比大概有4拳左右的距离，所以跷二郎腿都没问题 2：因为采用了纯平地台，所以后排中间的位置坐着还是不错，长途乘坐也可以 3：因为有很大的可开启全景天窗，整个空间的开阳感很好,2023-02-24,
用户6839421911455,"外观：仁者见仁把给4.5是因为前脸有些人觉得奇怪，其实看多了就顺眼了，其他地方都很好

内饰：除了杯架和门把手，其他都很好，故4分

配置：我买的是100公里旗舰，自适应巡航，座椅通风加热，丹拿音响，抬头显示，自动泊车等等等等，基本齐活了，没啥可挑的，妥妥5分

空间：4.5的原因是后备箱感觉有点小。座椅无论是前后排都无可挑起，感觉同级别的车没几个比得过

续航：电的续航还可以100基本上跑个80没问题，油表显1030公里，高速实际下来7折把，跟个人习惯有关，不是很满意。3.5好了

智能化：配置很齐全了，语音控制有时会出现卡的情况，基本能达到说啥执行啥的程度4分

驾驶感受：4月初购车，到现在行使了7300公里，基本油电对半。城市使用非常香，家用充电桩非常香，0.29元一度电，充满电不到6块，真省油钱。避震感觉比唐强，转向不错，起步没的说，4.5很公正啦",2023-08-24,
汽车网评,【最满意】 护卫舰07采用的是比亚迪最新的“海洋美学”设计理念，整体外观很高程度还原了概念车的设计。官方称为“海洋律动”的前脸和“深海中脊”的中网富有动感，个人感觉中网像是剃须刀一样，大部分线条都是用圆滑的线条体现出车体之大，加上扁平的悬浮式LED灯组的车灯，远观就像一直鲸鱼。后方D柱的位置有着三条杠，其实是充电电量显示。富有运动感的尾翼不仅美观，而且确确实实是可以引起导流，尾灯的设计可以在汉的千山翠版本可以见到，一样那么动人。 【最不满意】 原厂轮胎胎噪过大。 【乘坐体验】 内饰也同样是海洋美学设计，环抱式内饰，台面层层叠加，软质皮质还有麂皮材料混搭，视觉和触感上面有着不同的体验，10.25英寸全液晶仪表搭配15.6触摸式中控大屏，屏幕也是带有自适应旋转，门把采用了元宋一样的开门方式，造型像个海螺一样。一体式的座椅上流体的设计，既美观又贴身，包裹性和舒适性良好。后排空间也很大，座椅靠背有11级调控，大大提高舒适性。尾箱空间中规中矩，后排支持全平放倒。 【驾驶感受】 1.5涡轮增压加电机，插电式混动在动力上没有一点问题，动力平顺丝滑，后段加速也很有力。底盘调校偏舒适，一些大的坑洼和减速带也能很好的柔化，也得益于有FSD电子可变阻尼悬挂，给乘坐质量大大提高。,,
汽车网评,【最满意】 护卫舰07采用的是比亚迪最新的“海洋美学”设计理念，整体外观很高程度还原了概念车的设计。官方称为“海洋律动”的前脸和“深海中脊”的中网富有动感，个人感觉中网像是剃须刀一样，大部分线条都是用圆滑的线条体现出车体之大，加上扁平的悬浮式LED灯组的车灯，远观就像一直鲸鱼。后方D柱的位置有着三条杠，其实是充电电量显示。富有运动感的尾翼不仅美观，而且确确实实是可以引起导流，尾灯的设计可以在汉的千山翠版本可以见到，一样那么动人。 【最不满意】 原厂轮胎胎噪过大。 【乘坐体验】 内饰也同样是海洋美学设计，环抱式内饰，台面层层叠加，软质皮质还有麂皮材料混搭，视觉和触感上面有着不同的体验，10.25英寸全液晶仪表搭配15.6触摸式中控大屏，屏幕也是带有自适应旋转，门把采用了元宋一样的开门方式，造型像个海螺一样。一体式的座椅上流体的设计，既美观又贴身，包裹性和舒适性良好。后排空间也很大，座椅靠背有11级调控，大大提高舒适性。尾箱空间中规中矩，后排支持全平放倒。 【驾驶感受】 1.5涡轮增压加电机，插电式混动在动力上没有一点问题，动力平顺丝滑，后段加速也很有力。底盘调校偏舒适，一些大的坑洼和减速带也能很好的柔化，也得益于有FSD电子可变阻尼悬挂，给乘坐质量大大提高。,2023-03-09,
SuperStreet超级街头,"护卫舰07，它是定位全新大五座超混SUV，官方指导价是20.28万到28.98万元，实这个价格区间它有着搭载DM-i超混技术的100KM和205KM纯电续航的车型，还有一个是搭载了175KM的纯电续航的车型，它是用的DM-p四驱技术。

看它的外观，这个前脸是海浪律动的前脸，是比亚迪基于海洋美学设计理念打造的，我们看一下具体这个205KM纯电续航的是有这种灯光效果的，100KM纯电续航是没有的。

你看205KM纯电续航是有这种阵列的灯组，格栅也是这种亮黑的，竖向的紧密排列的这种格栅，包括它有横向的浅色的、银色的横条进行交叉，它上面也是这种透明饰板条纹的图案，非常漂亮。

比亚迪这个标志也是可以发光的，包括它中间贯穿式前中位置灯，另外还有和格栅融为一体的这种深海光影晶钻的阵列式的LED大灯，上下的两条LED的行车灯贯穿下来，我觉得还是很好看的，整体它还可以变换不同的灯语，如果你要买100KM纯电续航，看不到这么漂亮的灯语效果，这种漂亮的灯组。

护卫舰07是首次搭载了iPhone NFC数字钥匙的车型。只需要把手机放在后视镜上，轻轻一贴就可以解锁，当然如果你离车的时候也可以这样轻轻一贴就可以上锁，是不是很方便。

我们看一下护卫舰07的侧面，看这个颜色是苍烟色，是它的专属颜色，看它长度是4820mm，宽是1920mm，高度是1750mm，轴距是2820mm，我觉得这个尺寸在家用日常的话是刚刚好的一个尺寸。

护卫舰07有一个非常有特色的功能，就是它的D柱能量指示灯，当你在开锁和闭锁的时候，它是可以亮起的，并且它可以区分快充和慢充，当你充电的时候它是由下往上依次显示的，另外，在车外你就可以看到这辆车的剩余电量；当你是三格或者两格的时候，它是绿色显示；当电量只剩一格的时候，它会红色显示，是不是很有意思。

护卫舰07它是全系标配了直流快充口，但是100KM它的充电功率是40kW，205KM款型以及175KM款型充电功率是75kW，另外，这个车也是有着外放电的，它的车型也是不同，100KM它仅仅支持3.3kW的放电，在205KM款型以及175KM款型是支持6kW的外放电的。

内饰的配色是云雾灰，它是通过不同的材料去组成的，整体的设计，包括材料的运用还是挺显档次的，看着还是挺高档的，然后它上面是这种硬质的材料，中间它是一种深灰色的亮面饰板，包括下面也是一种不同的灰色，仔细看里面它是带有这种波浪图案的，包括下面它是用的环保的麂皮的翻毛材料配以这种玫瑰金的饰条，在下面是一种软质材料。

看它的屏幕，像205KM纯电续航是10.25英寸的数字仪表屏，中间依旧是这种DiLink系统的中控悬浮屏，它的尺寸是15.6英寸的，这种新款的DiLink 系统是支持5G网络的，还是非常不错。

护卫舰07它是支持四音区唤醒的，在语音交互上它可以支持20秒连续语音控制，它这个连续语音控制还是挺好用的，可以执行一条命令，再连续执行，不用再重复的唤醒。四音区的识别率还是挺高的，可以很准确的识别。

在动力方面是采用的骁云插混专用的1.5Ti发动机，发动机的最大功率是102kW，它的峰值扭矩是231N·m，结合它的EHS电混系统和刀片电池，它电机的最大功率是145kW，峰值扭矩是316N·m；它的技术是以电为主的混动技术。",2023-04-30,
郝车来袭,"导语：
众所周知，随着秦PLUS和汉等王朝系列车型上市，新车备受好评且长期占据销量榜前列，如今比亚迪又继续发力海洋系列产品，包括主打操控性能的海豹和号称高性价比的海豚等等，这些针对细分市场的新车一经上市便俘获不少消费者芳心。那么在中型SUV市场，护卫舰07则成为继比亚迪唐以外的另一大杀手锏，不过目前新车只推出插电式混动版本（DM），相信后续还将有望布局纯电（EV）市场，那么护卫舰07都有哪些亮点呢？

造型：
基于比亚迪“海洋美学”设计理念，护卫舰07的灵感源自于海浪涟漪，超大尺寸多边形格栅官方称之为“深海中脊”，六条横向镀铬装饰+亮黑色饰件再搭配经过熏黑处理的大灯，不仅带来了强烈视觉效果，同时也大幅提升了前脸辨识度。车身侧面通过多条筋线勾勒出了一种光影效果，更符合年轻消费者的喜好，隐藏式车门把手也紧随时代潮流，精致好看还能有效降低风阻。值得一提的是，护卫舰07是比亚迪首款支持苹果NFC数字钥匙的车型，这一下让不少苹果用户也能体验到数字钥匙的便捷性，D柱的三条杠既能起到装饰作用，同时又是电量指示灯，设计的是不是很巧妙呢？相比前脸，尾部造型更加圆润饱满，贯穿式尾灯充斥着比亚迪的味道，点亮后效果也不错，硕大的扰流板十分抢眼，而且在实际驾驶中的确能有助于提升车尾稳定性，那么您觉得新车的造型设计如何呢？

内饰：
护卫舰07的内饰氛围可以用熟悉夹杂着新鲜感来形容，层次分明的中控台区域拥有海浪般的既视感，大量软性材质和麂皮面料的混搭提升了整体内饰的档次，金属饰条的点缀又增加了一丝质感，中高配车型配备的12.25英寸全液晶仪表盘（低配为8.8英寸）画质清晰易读，界面风格依然为比亚迪常用样式，15.6英寸自适应旋转悬浮Pad堪称是比亚迪经典配置之一，旋转车门开启方式也彰显了其个性的一面。

空间：
车身尺寸方面，新车的长宽高分别为4820/1920/1750毫米，轴距达到了2820毫米，得益于不错的车身数据，前后排的乘坐空间还是相当宽裕的。与此同时，后排椅背还拥有11级调节，调节角度可达20度，保证了不同身材乘客都能调整到最舒适坐姿，平整的后排地板也为新车加分不少。座椅的面料采用了真皮和麂皮拼接而成，相当厚道，充足的填充物也让其乘坐舒适性表现出色，像12向座椅调节、座椅加热通风记忆等功能前排座椅全部配备。虽然新车采用五座布局，但后备箱的容积相当可观，放倒后排座椅后最大纵深可达1950毫米，满足日常家用完全没有问题。

动力：
新车全系均搭载比亚迪DM超级混动系统，这台1.5T发动机最大功率102千瓦（139马力）；峰值扭矩231牛·米，与之匹配的是E-CVT变速箱，其中DM-i版本还配备了一台单电机，纯电续航分为100公里和205公里两种可选。DM-p版本则配备的是前后双电机+电动四驱组合，电动机总功率295千瓦，电动机总扭矩高达656牛·米。

导购：
2022年底，号称舒适“大五座”的超混SUV比亚迪护卫舰07正式上市，新车共推出六款车型，售价区间为20.28万~28.98万元，根据配置分析郝哥推荐您首选100KM尊贵型，相比入门版豪华型，虽然预算增加1.3万元，但却新增了具备L2级别驾驶辅助等级的安全配置，包括并线辅助、主动刹车、自适应巡航以及前后方碰撞预警等等一应俱全，即使是新手或女性朋友也能轻松驾驭。当然，像常用的座椅加热通风记忆、腰部支撑、多色氛围灯以及雨量感应也全部配备。因此这1.3万元花得还是挺值的。那么相比再高一点的旗舰型，预算又继续增加了1.3万元，但这次只多了一些像自动泊车、抬头显示、丹拿音响等几个可有可无的配置，至于205KM版本，郝哥是这样认为的，既然是插电式混动而并非纯电动，那么纯电续航也就并非是重点了，用25万元左右的预算花在续航里程上也并非明智之举，所以最终郝哥还是觉得裸车价21.58万元的100KM尊贵型的性价比最高。

总结：
根据2023年2月新能源销量排行榜显示，比亚迪以销量138.9万辆的绝对优势位列第一，其中秦、汉、海豚和海豹攻占了10~30万元的主力价格区间，而作为“新人”的护卫舰07销量也突破6000辆，这个成绩对于一款刚上市不久的新车来说已实属难得。同样身为中型SUV，相信大家会不自觉将驱逐舰07与唐联系在一起，担心是否会形成自相残杀的趋势呢？但其实驱逐舰07会偏向追求年轻个性的消费者，而比亚迪唐凭借更“正派”的定位更偏向家庭用车。最关键的是，比亚迪想通过王朝系列和海洋系列“双保险”的策略进一步抢占这块主流市场的影响力，那么您觉得护卫舰07如何呢？感谢您关注《郝车来袭》。",2023-04-11,
