字段1_文本,字段2,时间,字段3
连城丶丶,"【空间表现】
买来基本是当五座用，第三排直达开过一次只能做进去小孩或比较瘦大人。第三排放倒后备箱可以放很多东西，但开车很激烈，后备箱不满的话会在后面乱晃发出响声。
【动力表现】
提速很快，纯电最多到135码在往上只能用phev。
【续航】
市区平时开都是纯电，到了高速自动巡航100或120耗油挺低的，但我高速喜欢踩几脚油耗就上去了。
【充电时间】
随身充要大概十个小时能充满，家里安的7kw充电桩要四五个小时还是比较快的，试过外面的直流充电桩最大充电功率能达到60多kw需要五十分钟充满。但费用太高了一度电要一块六。

【智能化】
小迪能做到的功能很多，但他总听不清我说话，不知道是我说的太快了还是有口音。车内有四个麦克风，能够识别并锁定说话的人在哪里。
【最不满意】
车刚启动开空调总会听见左右两边空调出风口穿出咯噔的声音，一般会发出好多声，打右转向的时候会发出卡擦一声。腿碰到方向盘和扶手箱会发出异响。
昨天下午启动的时候提示我动力受限，但我没有拍照，比亚迪app里提示我要立即充电，重启一下就好了。
【驾驶感受】
驾驶起来最大感觉就是fsd减震总让我意想不到，总是猜不透哪里会有减震哪里会变硬，在减速带前如果踩着刹车过会很颠，如果不踩刹车直接过就会很平稳，刹车的时候点头的幅度很大，堵车跟车的时候就刹一下点一下不管开的有多慢，整得我头很晕。",2023/4/11,塔城
strive1227,"【空间表现】
在这个价位的SUV里面，空间表现非常棒。日常当做大五座使用，储物空间够大、够多。偶尔人多的时候使用七座模式，第三排座位坐着也不难受。
【动力表现】
1.5T的插混专用发动机，搭配电机驱动，虽然不是四驱，但日常使用完全够用。高速上我习惯压着限速跑，速度严格控制在法律规定的10%以内，在这个速度下，偶尔需要超越旁边的半挂车的时候，也只要稍微深踩一下也能马上把速度提起来完成超车，中高段加速能力也杠杠滴。 
【续航】
官方标称纯电续航112公里，实际上在西安的冬季，早上满电出发，空调28℃，再开上主副驾座椅加热，基本上跑七十多公里就电量低到25%，自动切换为HEV 模式了。如果不开空调和座椅加热，基本上市区跑一百来公里稳稳滴。
【充电时间】
快充就不说了，基本上都是一小时以内，用官方充电桩充电，基本上三个半小时左右。晚上预约充电特别方便。
【第三排空间】
成年人的话，只能坐瘦小一点的，毕竟这个价位的SUV肯定不能和全尺寸SUV或MPV相比。在中型SUV里面这个第三排算是很不错了。
【智能化】
车内配置很高，但这个智能化还是有点不够完美，还需要好好再提升一下。
【油耗】
前期充电桩没装好之前一直加油跑，基本上市区和高速一半对一半吧，算下来油耗差不多百公里6升左右。这么大的车，这个油耗很满意了。
【购车经历】
2022年的时候就喜欢唐，当时五一的时候预定了一辆21款的112KM尊荣。但那时候等车时间太长，等到十月一也没排到，最后退订了，今年十月一的时候又去看了一下，这次看的冠军版112KM尊享，店里直接有现车，当时就直接交钱提车。
【驾驶感受】
操作上挺棒的，就是转弯半径确实有点大，对新手不友好。车道保持和智能领航还需要进一步提升一下吧。",2023/12/8,西安
Nic赵四,【购车经历】 今年想买一台电车给我老婆，看着好猫优惠22000立马去看，看完了老婆一脸嫌弃，就去看宋了，但觉得太老了2021年的，然后发现旁边的卫护舰，想买，但老婆觉得好丑，于是去隔壁看，就看中了唐，最后变成了我自己买车了，一周提车，很神速，提车当天就去贴膜了，网上买的龙膜畅悦80，3099，四儿子送的不敢恭维，说有优惠，看都懒得去看了免得被套路，新车味道非常大，然后买了一堆的炭包，发现可以开高温消毒，今天开了一次，异味是真的降低了，据说在机场高铁站还有免费帮忙泊车功能，下次试试 【空间表现】 空间绝对没问题，小孩子在后排坐上去就跟在家的床边坐着一样，相当给力，主驾驶位也完全足够，护卫舰试过了，驾驶位拉到最高位居然会卡脚，我一米八六，脚部顶着太难受，宋不会唐更加不会，起码的卫护舰07 【动力表现】 人生第一台电车，买过三台车，丰田雅力士，现代ix35宝马525，表现平平，可能预期大于表现吧，但是唐的动力表现我是非常满意的，很丝滑 【续航】 没啥感觉，本身就一百多公里，没刻意观察 【智能化】 该有的都有了，暂时满足一切需求 【充电时间】 第一次充电从18%-90%花了30多分钟，这速度也不差了 【驾驶感受】 有种开坦克的感觉，坐的很高，整体满意 【最不满意】 dmi前脸太low，停留在十几年前那种常规前脸，已入手dmp前脸打算下周去换。,2023/4/11,东莞
想开仰望的小韩,"【空间表现】
空间很大，第三排放倒情况下就是大五座

【动力表现】
有电一条龙，没电1.5T的发动机动力也很猛
【续航】
纯电续航NEDC 110km，实际上完全够用，只要不是冬天，经济模式下市区跑个100km没问题
【充电时间】
标配快充，7km快充充电桩完全充满两个半小时，慢充五六个小时
【第三排空间】
第三排就一般般了，第三排只能应急，小孩子挤一挤还行
【智能化】
前后各四个雷达，倒车停车的时候无死角的监控比较省心，标配ACC和车道保持等功能，但是比亚迪的智能驾驶还是得发力才行，看现在华为问界和智界都发展到什么程度了，再不发力就晚了🌚🌚
【购车经历】
这是最被背刺的，我是10月15号提的车，尊荣型官方指导价21.98万，买的之后厂家官方降8000，裸车21.28，然后，，，，我写这段话的时候官方已经降到15000了，裸车价20.48，，，，已经被背刺成刺猬了🦔

【驾驶感受】
冠军版的底盘绝对要比老款底盘强太多，但是很气怪，我刚买车开的时候觉得这个底盘很颠，过一些坑娃路面或者减速带的时候，车身姿态很不稳，转弯侧倾角也有点大，后面跑了两千公里左右之后渐入佳境，感觉底盘越来越稳，越来越舒服，有这个级别的感受了。所以前期可能是新车没磨合好的缘故，有没有遇到这种问题的朋友，交流一下哈哈哈
【最不满意】
最不满意的地方没有，买了它就是相信他，他就是你的朋友你的出行伙伴，买唐不后悔!
以前上学的时候就喜欢唐了，终于成为了比亚迪唐的车主。
春风得意马蹄疾，年少有为比亚迪🌝🌝",2024/1/11,西安
凹凸曼,"【空间表现】
4.8米的车，放倒第三排之后的空间表现还可以，第三排坐小孩还行，坐大人的话有点儿尴尬。
【动力表现】
去试驾的时候4S店没有23款冠军版的车型，直接给我试驾顶配的DMP，写两者的差距在字面上是有的，所以试驾时也没怎么狠踩，直到提了DMi，在高速上试了一下加速，感觉足够用了，平时纯电，超车什么的轻松无压力。
【续航】
我基本上是一个星期充一次电，一次能跑80-90公里，经常提前开空调，这点挺爽的。
【充电时间】
买回来之后就装了充电桩，7KW的，一般3个小时左右充满，让人意外的是快充，说是支持40KW快充，实际上能干到将近50KW，反向虚标！
【第三排空间】
平时不用，放倒就行，小孩子喜欢去后面玩儿。
【智能化】
用手机APP远程开空调，在广东的夏天真的是太爽了。上车就凉快，平板用了两天就研究明白了，比着之前开的燃油车功能强大了不少，就是主动刹车系统有点儿惊悚，时不时的给你来一脚刹车，建议老司机关闭。车辆支持苹果手机NFC，比较方便，从来不带钥匙，一个手机就可以了
【最不满意】
底盘方面有待加强，能用上前后多连杆或者是5连杆就好了，转弯半径实在是太大，平时轻松过的转弯掉头，这得两把才能过。
【购车经历】
我的第一款车是14年买的哈弗H6，底盘松散，车身生锈，小毛病多，好在皮实耐造，23年考虑换车，本来没想再买国产车或者是混动车的，去试驾了奥迪a6L和Q5L，它们的底盘质感确实让人印象深刻，这也是我最满意的一点，其他都不满意，比如A6L的内饰异响，Q5L的内饰大把硬塑料，偶尔在抖音刷到唐DMi冠军版上市了，底盘筷子悬架换成了铝合金，就去试驾了一下，感觉国产车进步很大，底盘方面跟奥迪a6和Q5比着确实有差距，但是也是在能接受的范围。果断出手，现在用了一个月，出门我都开车，因为用车实在是太便宜了，充电方便，用电跑一公里几分钱，提车的时候加了一箱油，不知道会不会跑过期。。。      【圈主推荐精华】",2023/6/8,惠州
爱生活detea,"到今天提车整一个月，行驶总里程约1800公里，纯电里程约1200公里。
这一个月里这辆车算是挺折腾我，但我还是很喜欢它，希望它能平稳的保障我几年。
刚提车，我就有点失望，因为当时正赶上有政府补贴，提车的人特别多，新车都没咋洗，内饰还有点划痕，底盘甩了很多泥巴，当时挺失望的。奈何想拿补贴，就还是提了。第一观感不佳，没有一种嘎嘎新的新车感觉。
提车当天速度开的贼慢，怕刮蹭。
提车三天，新车适应了，就发现提速电机异响，去了一趟购车的直营店，幸亏技师有经验，说是电机声音应该是正常的，只不过不应该让驾驶员听见，检查发现是因为隔音橡胶圈没有装配好，导致的电机声音漏进了驾驶室。这个事我写过帖子，也顺利帮助几位网友解决了同款问题，挺欣慰。其中一个网友说他因为这个异响都换了电机还没有解决，参照我的解决方案，才得以顺利解决。现在改是有点声音，几乎忽略不计，有些人称之为电机啸叫声。

赠送的东西，有一个后备箱垫今天才给到了。不是啥值钱东西，磨磨唧唧。

目前还有个情况，就是窗户外压条装配不紧，一按有ga，da的声音，给窗户贴膜去了一趟4s专门问了这个问题，说是可以给我订件，然后换一下，目前还未解决，不是啥大问题，平时开车没有异响，就是关车门，手带到那个位置有点隔应。


4s贴膜不是无尘环境，导致有一些灰尘附着，整体上有点廉价，膜送的龙膜，说是5年质保。还给我了龙膜官方质保方式，但我查询龙膜电子质保，没有我这个信息。店里应该管的。

后备箱有个安全带卡扣，我平时打球，拴了绳子，晾一晾袜子或者洗车的毛巾啥的，今天拿东西，刮下来了，里面有卡扣裂了，索性没断在里面，不然很可能出现异响，我拿双面胶粘上了，效果良好，pdd买个粘胶的，也就几元钱，不是啥事。

安了充电桩，目前行驶1800公里共加油483元，还有点油呢。电费没算，大概200度电吧，充了大约10次。
我买了中控膜，屏幕膜其他啥也没添，后期计划安一个屏幕旋转神奇和充气床垫，远期有购置车顶行李架的打算。

有想了解的可以关注一下，后期我会多分享，也就尽可能解答大家问题。
圈主#精华推荐",2023/10/15,沈阳
沉丶浮,1.首先说外观，个人感觉唐DMi的外观没的说，尤其喜欢他的翘臀，很有feel，唯一不足的可能是高度不是那么高，哈哈哈。 2.其次说说动力，动力方面竟然是1.5t，如果是2.0t就更好了，但是日常通勤出游够用，也还好吧。 3.空间方面，我身高180，坐在第三排腿正好碰到了第二排的座椅，只能说暂时应个急绝对够用，长时间坐着的话，我这个身高的人肯定不会舒服。 4.内饰方面，中控钢琴烤漆工艺太容易划伤，看着确实挺高大上。而且里面的门把手也容易划伤，最重要的是他的储物空间真的是太少了，手机都没地方放。 5.智能化不用多说，你好小迪基本上你的操作都能解决。 6.续航方面的话，我是开着空调开着座椅通风，跑到了96公里左右，强制保电25%，感觉112公里不成问题。续航标准嘎嘎的。,2023/9/17,大连
凤舞黑曜石,其实提车已有一段时间了，一直因为生活中很多事耽误了，现在才想起认证。 说一下提唐之前的想法吧，其实一开始是想买日系车的，因为我是广东人，家里都是日系车?家里最老的一台车就是丰田大霸王94年父亲买的，当时候是日本进口50个买回来的，直到我读完书后还能开，但是家里没怎么开了，一直存放着。在用的日产是2013年买的用到现在，也有点老了，所以一直想换车。然后疫情结束后，就开始留意汽车准备换车了，日产因为新奇骏是三缸，所以没考虑了。开始留意的是双擎版的威兰达21个，但是由于内饰和电池在座位上这个问题取消了，然后又留意到新CRv，一度想换那个智领版（3月应该是21-22），但是我老婆说有2个同事都换了比亚迪的电车说很好用，我一开始是想国产车不会怎样好吧？后来开始观察，留意到了唐，视频，数据都很夸张，于是便去4s店看和试驾，开始销售都只给电车我试，不论是宋还是唐还是汉都是电车，于是我向销售提出让我小试一下唐插混那个dmi行不行？我的真诚心想了解的，销售说没牌不能开，只有试驾车才能开，经过我2次提出要求，销售还是问了老总，让我在4s门口试了一下，感觉还是很顺滑的，所以就开始谈唐了，然后就定了下来，因为刚刚出什么都没有送，就送了6次保养，什么空气炸锅，吸尘器这些。 然后就是最近这段时间的分享了，刚刚开始总是开得快车……我的错，因为长期开惯了马路三大妈?压制不了新车的爽快油门，轻轻一按就80了……老是超车?最近熟悉车了才慢慢改掉了这个坏毛病，最近老是用纯电模式，一般现在2-3天充一次电?每次接近一个小时。油基本没用过，车机也没有深入使用过，就听听歌，我喜欢听歌，所以肯定要上丹拿的?。先分享到这里吧，写得不好请大家不要骂我，以后有机会再更新用车心得，谢谢大家。,2023/4/13,佛山
墨杨0502,购车初衷：想着空间大一点，家人坐着舒服点，七座基本用不上，平时当做五座车开，最吸引人的地方就是外观，外观这东西是萝卜青菜各有所爱，不评价。 驾驶感受：原来车是手动15款绅宝，开了8年，也属于老车了，虽然车不好，但是也从来没掉过链子，陪伴了我们一家人风风雨雨八年，现在开着唐，驾驶感受比原来好太多了，开过同事的特斯拉，感觉特斯拉座椅有点短，坐着不是很舒服，提速各方面肯定比特斯拉差远了，但是作为家用，我感觉唐完全能满足我，毕竟不飙车，已经过了飙车的年龄了！ 充电时间：正常家用7千瓦的充电桩，两个多小时充满，剩余20-30的电，快充基本半小时能充到80多！ 续航：这里得吐槽一下，冬天的续航打折太厉害了，因为是冬天买的车，还没感受夏天的续航，冬天零下8度的续航差不多6折，尤其是早上冷车启动那10几分钟，电量掉的刷刷的！ 智能化：感觉够用，车机流畅度还可以，但是不算最好的，够用！可能跟年龄有关，不太爱折腾电子产品了，基本就是原车机的APP再用！ 油耗：跑了两次小长途，大概两百公里左右，全程国道，油耗6.4左右，感觉比我原来的绅宝省油！ @,2023/12/25,宿迁
忠哥威武,"【空间表现】
空间大。适合家用，平时基本也是一个人开。所以空间大不大对我来说基本没用。坐着舒服就行。
【动力表现】
虽然不是唐dmp但加速也是嗖嗖的。一公里不到的路，一脚踩到130了。开了300多公里了，红绿灯起步还没输过。
【续航】
油和电都用。车是拿来服务我们的，不是我服务他的。主要看自己怎么用车，我不在乎续航。没电就用油跑，闲了就去充电。不用那么焦虑。
【充电时间】
从30%--充100%1小时左右。
【第三排空间】
没试过，基本我一个人开，就当五座车了。后排一直放倒的。
【智能化】
智驾一般，我很喜欢开车。自己开多好，要啥智驾。
【驾驶感受】
加速挺快的，超车啥的动力一踩就有。方向盘转向得用点力。按喇叭也得用点力，不然不响。

【最不满意】
背刺呗。定完车后两天，降价4k，然后车提上了，又官方降价1.5万。",2023/12/1,武威
那一夜的军师,【感谢圈主柯基狗蛋儿推荐精华】 【空间表现】 空间绝对没得说，在老家超载了一次六个成年男性?没放第三排。 【动力表现】 试了试大概8到9秒，不过电机的感觉和油车不太一样，推背感还可以。高速一百五六还是随踩随有。 【续航】 八十公里以上吧。不过每次看电量太低就切HEV强制保电了。 【充电时间】 快充还没用过，慢充单位免费，估计短时间内也用不到?，慢充充电很慢，得十个小时以上。 【最不满意】 最不满意的地方，一个是内饰异响，钢琴烤漆的面板是重灾区。然后是第二排座椅调到最后，角度最大第三排座椅会卡，拉不出来。然后是高速定速巡航，弹跳比较大的时候会加减速一两下，开车还好，坐车的来几次估计就该晕车了，不知道是通病还是我这辆车的原因。然后就是高速风噪胎噪很大。 总的来说还是完全符合预期不过需要提升的地方还是有很多。 【圈主推荐精华】,2023/6/6,廊坊
