字段1_文本,字段2,时间,字段3
用户7911815604893,"外观，就是冲这个去的。以前纠结海豹，但是，海豹感觉太小了，下不了手，一直不敢下手。宋L的外观解决了这个问题，特别是无框车门，同事都觉得很高大上。
内饰：对比起我2016款的秦EV300，当时也花了14万买的，这次内饰好到爆炸了，氛围灯都给整起了，那么大的屏幕，同事都觉得值，然后可升降的水瓶托。
配置：必须满分，四个座椅加热，无边框车门，超级大天幕，坐后排高科技满满，可升降的水瓶托，连续语音控制，这几个是我这几天常用的功能，还有很多功能没摸熟，自带ETC，预约充电，L2，这些都没研究
空间：坐过我车的同事都说大，然后我停车的时候感觉比我秦EV要宽，停车停的不习惯了。
续航：城市里面开，感觉还行。ECO模式加较大回馈模式，感觉还行，再熟练一点用标准回馈模式可能会更好。
智能化：目前而言，连续对话真好用，开车只动嘴不动手，谁用谁知道。
驾驶：提回来第一天，同事把车开到高速去跑了下，跑了160，170讲很轻松，推背感还蛮好，比他26万的油车，提速要快。我开车开的慢，动力对我来说，够用就行。



【最不满意】
等车等了一个半月，如果是660的卓越版，就非常快。
【购车经历】
先定的海鸥，宋L预售价出来，完全想不到自己会买他，等发布会结束后，第二天从海鸥定金转到宋L了。
【提车价格】
没有任何优惠，就一个置换补贴6000元。宋了6次保养，送了冰甲天窗膜。脚垫。送了一个围炉煮茶的小电器
【驾驶感受】
我是开了八年电车的车主，开起来都差不多真没感受到很强大的提升，可能我开车开的比较慢，比较稳，不过有几次主动帮我刹车的体验感比较不错，开了道路居中和偏移，有时候变道，方向盘会振动，提醒我车道偏离了。我正在纠结要不要关掉这个功能。可能开多了就习惯了吧。",2024-01-27,怀化
比亚迪宋L,"外观 就是加大的轿车，小趴菜，低趴，线条流畅优美，辨识度高，轮胎变大。
内饰 该有的都有，皮实耐操，群里也有皱巴巴的不知道啥情况，我选的白色的，当时看也觉得会不耐脏，发黄，可是老婆喜欢这个颜色，所以也就选了这个色。
配置 方面说真的，低配版其实也够用了，当时就是想着要个抬头显示，在车上听着导航也很慢欣赏着音质是啥，平安到达才是最终目的，其他尾翼啥的都是别人看的见，自己看得见就抬头显示，座椅按摩通风，根据天气情况可以安排一下，路上有时偏右会主动帮你矫正方向，最主要的是有倒车影像，真的是新手福利啊，在这个寸金寸土的停车位左挪右挪的，没停车影像我停进去估计也挂花了。
空间 车身1.9米宽，长4.8米，主要感受是后排比汉平整，老婆想着以后带着孩子坐后排会舒服点，汉就很后仰了，不够平整，和宋P就稍微矮一点，当时想着不搞油混了，天天保养，还要加油，两头不讨好。直接上纯电，宋L也刚出，也对比了下底盘等参数，说真的预算不够直接宋P，真香，开个几年就换
续航 这块我就开了300多公里，没啥参考价值，简单的就是城市道路，开个5码的过街道，偶尔跑个高速30这样，确实平稳，车身重，续航15W这样，大深圳降温之前12W这样，天气冷开个暖气能耗会上来，还有就是这个较大反馈还没弄，应该还可以更低，群里都有9W的黄金脚，总体达成率冬天都会下滑，我回老家300公里不到，我都预算打折一半的，所以我不担心，前几天刚去充了下电，还有36的电冲到98花了54分钟，中午的一块钱一度，61块，这快充桩散热气直升机?一样，很吵，群里说宋L也会有声音我都没听到，估计那天天气暖和，北方那边充电还会触发热泵工作。
智能化 这块分为语音交互，还有人车分离，就是我下班后不用拿着钥匙，我靠近了就自动解锁，我离开了就自动锁车，不过我一般离开后要自己按下APP锁车才离开，这个得好一会后才自动上锁，之前参加年会，都十五分钟了还提示我没锁车，可以远程锁车开空调等，上车后，你好小迪，可以各种操作，连续的也行，不过一般开着车不习惯这样去操作，因为你说开窗，我左手按下窗户就开了，你还得讲八九个字，慢慢习惯吧
驾驶感受  新手司机，没开过自动挡，提车那天还开玩笑问离合在那里，试驾一听说新手，都不敢带我去开了，后面是销售在停车位教了下前进后退，自动挡的车真的是有手就行，会踩刹车就好，都不用调换档，除了倒车，其他都是D档前进，，过一些减速带特别硬，可能我的胎压过高了，290的胎压，车身确实大啊，坐上去视野也宽敞，就是晒，后面贴了个龙膜，好了一点，方向盘感受随叫随到，电门比较肉，速度起来后快，起步速率和两个轮的没啥区别，后排老婆说宽敞，主要也是家庭需求，所以没有暴力驾驶过，都是慢慢开，刹车稳，打转向灯会有叮叮的声音响，现在习惯了，过街道我都会打开360行车影像，慢慢就找到车的感觉了",2024-02-08,深圳
F-HD,之前开的09款北京现代，上周直接开翻，媳妇十分心疼，遂到店选新车，一眼看中L，当天直接拿下，比原来的老车好开多啦 优点就是操控舒服，空间大，车型好看得很 缺点就是续航续航续航，跑高速大概打6折，心很痛，从4s店满电开出来550，今天开到120充电，表显里程341，这样算续航达成率79.3。 第一次充电直接用了快充，一个小时干到98。 整体使用效果很满意BYD 🐮🍺,2024-03-11,曲靖
大雄41858904,总之是自己喜欢的，从打算换车开始到提车，前后两个多月，从十万出头到近二十万，首先还是安全第一，比亚迪刀片电池还是值得信任的，再者就是外观喜欢，电动尾翼，无边框车门，再到LCC，在前排标配座椅通风，加热，按摩，最后一点是全新的3.0平台，买新不买旧嘛。图二：单位停车场，宋家三兄弟排排坐，缘分呐,2024-03-10,丽水
用户1711612712149,外观运动时尚，正适合年轻车主。内饰翻毛皮有质感，简约大气。空间大，特别是后排，贼宽敞。操控感强，有驾驶乐趣，四驱推背感十足。缺点没有高阶智驾，后备箱因为溜背造型牺牲了纵向空间。,,成都
选昵称真的难,续航不太行，开高速满电只能开300多公里，而且能耗挺大的，算下来百公里花费23块钱多。外观挺满意的，内饰橙色实际是偏粉的，没有白色内饰好看，想要灰色外观+白色内饰的，但是当时只有灰色外观+橙色内饰，和黑色外观+白色内饰的现车了。黑色真心很normal，灰色帅很多，最终还是选了灰+橙的。 【驾驶感受】 还是挺不错的 【提车价格】 一点优惠都没有……免了服务费，帮上牌还要加300块，保险啥的也都一点优惠都没有，推荐的什么延保险一律没买。我本来想要贴免费送的膜就行了，但我老公特想花钱……险也想买，膜也想买……最终为了满足他的心情，花了300块贴了主副驾两块车窗的最好的膜……唉，实际上没必要买，就当是花给老公的情绪价值了 【空间表现】 非常nice，宽敞舒适，很能装,2024-02-29,桂林
CODIronMan,那都挺好的，内饰非常不错，车机也还不错，要是应用市场有更多软件就好了，就是冬季续航实在不敢恭维，看网上说，冬天续航差是因为液体电池要加热使用，需要分出一部分电给电池加热，后面天气暖和了，续航明显也提升。外观也是非常帅的，所有人看了宋L都表示外观非常年轻化，很有活力。价格没有优惠也不是不能接受，反正还找销售要了几次保养和电池护板，也算是变相优惠了吧。,2024-02-20,六安
敏仔求上进,外观方面:非常符合年轻人的审美，龙颜设计特别帅，丈母娘说这车就像个大帅哥。 驾驶方面:底盘非常稳，最快开到160也保持的很稳定，车身不飘。 续航:冬天和夏天续航是不一样的，我这是海南，夏天国道跑60码的速度估计能跑700多公里，高速定速120码电耗15-16度，空调音乐都开，总体续航非常满意的 充电方面:经过长期观察，不论家充和外充都有损耗，售后说是车载充电机损耗的，冬天损耗大概多一点，夏天就少一点，因为电池恒温系统也要损耗电，总体说每次充电损耗在10-15度电。 车漆:钢琴烤漆部位特别容易脱落，轻轻一蹭就会掉，目前我的轮眉是自动脱落的，售后已经答应全部换掉。 车内异味:可能是新车皮革味有点重，目前已经暴晒通风，异味已经减少了很多了。,2024-02-18,海口
好学远山DNn,"不错，就是有点低频共振,不知道其他车主有没有这种感觉，特别是不平整路面。",,扬州
江俊霖939,目前为止，因为出现两次故障，对车子质量不是很满意。两次都是车轮传感器问题，第一次换了线束，第二次换了传感器。怎么说呢，希望不要再出现其他问题！,,重庆
用户465515519040,车很帅，续航没测试过，不过全景天幕太晒了，昨天停了两个小时就已经晒的不行了,,汕头
用户3294888843317,宋L这款车我也开了一段时间了，分享一下用车体验吧。买的550卓越，预算不想超过20，落地卡20了。当时没有出，一直在等车，还好等了，性价比确实挺好的。前双叉臂，后五连杆悬架，舒适度真不是提高一点亮点，也试驾过其他品牌的，舒适度差不多，不过价格要比宋L高不少。而且比亚迪的质保终身，而且品牌大，更让人放心。跑了三个多月，5000多公里，挺多了，电车真的省钱，之前的高尔夫市区油耗还得6个多油耗呢，这个一度电6毛钱最多，550续航大概400左右，很不错了，车内座椅通风加热，后排也有，还有按摩，语音交互，配置挺高的。无边框车门很帅，3.0平台的宋L，果然不一样，赞,2024-02-20,
嘿嘿嘿f先生,外观肯定是喜欢才下手的，看了一圈下来觉得宋L是目前比亚迪王朝系列里最好看，技术平台最新的车了，配置上该有的也都有了，空间上作为猎装车前后排调到最舒服的坐姿我一米八都坐得下，个头再大的话可能就有点局促了，家里已经有一辆沃尔沃XC90的前提下添一辆纯电猎装SUV，城市里开车动力上已经乱杀了，也是春节前家里确实需要添一台车子用，想买的智界S7和问界M7、M9没有现货，订了年前也到不了，退一步综合各方面考虑也就是宋L各方面都满意，续航标称662所以上卓越版，如果顶配也是662就无脑顶配了，自己平时回老家最远也就三百公里，这车再怎么打折也够用了，浙江省内的高速配套设施都齐全，充电什么的也不用担心，比亚迪最新的车机系统还是很流畅的，日常使用没问题，对车上不知道怎么开的功能让小迪开就行了😄，自己上手开这辆车，感觉底盘不错，城市行车车内也很安静，还没上高速跑，目前整体驾驶感受很舒服，希望能一直保持👍,2024-01-09,杭州
比亚迪汉evd,【购车经历】 一开始选择汉EV，但是汉的话比较老。而且价格的话一直没有谈下来。正好宋上市了。价格虽然没有什么优惠，搞了一些售后代金卷，还有十一次保养，两个漆面卷，龙膜护板都搞了，也算是可以了吧省一点小钱。能耗方面我觉得市区是完全可以600km的我的脚法可能比较温柔吧也开了800km了平均电耗也就13.6样子，续航还是比较扎实，过几天去衡山那边上高速看看，我觉得我应该可以开出17样子全程可以跑120样子试试续航 【驾驶感受】 前双叉臂，后五连杆真的很舒服，我开过朋友的特斯拉莫得伞觉得宋L是比他们舒服的。价格也比他们舒服操控方面的话我不知道怎么说，只能体会到舒服。毕竟不是专业的就一个家用车。 【动力表现】 6.9秒加速对我来说很好了根本很少用上。市区多我所以对加速无感。,2024-01-18,长沙
用户6578766440237,对比了海豹和汉，秉承着买新不买旧的执念，再加上宋l无可挑剔的外观（个人感觉，你觉得丑就是你对），我忍不住冲了，4s店送了脚垫、电机护板、太阳膜（垃圾中的垃圾），加1980工时免费送的车衣（😓），由于送的太阳膜太垃圾，我自己出去贴了，说是价值3000的车衣，工时1980，不贴了，买了精诚延保4860（俺是大冤种），车开起来怎么说呢，路感很清晰，转弯操控也很灵活，转弯半径比汉小多了感觉，车开了也有400公里了，充了一次电，从30开始充满，感觉我们这里还是太冷了，满电最多也就跑300多公里😂，而且我还是经济模式，空调两档风，温度29，外面温度零下十几度，等夏天看看续航达成率吧，智能化也还行吧，就是每次都得你好小迪唤醒，不能设置别的，我还想换成你好叼毛呢😄,2024-02-05,忻州
用户1367548075029,颜值虽比不上概念车，但也比其他同价位竞品要优秀得多，个人对于智驾（常年堵车）和800V（公司有充电桩）不感冒。所以冲着舒适性和空间去选车，很容易选到了宋l，只是纠结买哪个配置合适，基于省钱和年前提车选了丐版。开了一个星期感觉不错，舒适性和空间自不必说，驾驶感受优秀，车机应该也是比亚迪各系列最流畅，配置方面可能我没开过什么好车，反正觉得低配这些配置完全够用，正常海南冬天市区开空调电耗14.3，中规中矩吧。总体感觉产品力还可以，应该会抢占竞品以及自家的宋plusev不少销量。,2024-01-31,海口
蘑菇6166,冬天续航也就500多吧，配置还可以，内饰也挺好看的，丹拿音响，第一次买电车，心里也没底，太容易脏了，皓月白，轮胎挺大，估计挺贵的。置换补贴恶心，名下没车的还享受不了？新车，一分钱优惠也没有！支持国货吧,2024-01-03,常州
