字段1_文本,字段2,时间,字段3
雷克越,"总体而言，降价之后性价比，拉上来了。
我是因为外观，空间，还有长续航才确定买的。
内饰空间都很不错，浩瀚的架构真不开玩笑。
百度搞得智能化也是很不错的，车内语音无敌，PPA确实很好用，另外自动泊车点赞。
前段时间广深来回跑了一趟，百度的辅助驾驶确实不开玩笑，高架高速全程覆盖，120码蹭蹭超车，回来的时候，早上车少，9.05上高快，9.50左右就下来了(记得不太清了)，一路上都在超车。我自己肯定是不敢这么开的，这个智能化算是意外之喜，百度也确实有东西。

但是销售策略和宣发，确实是不太行。
等等智驾免费，或者打折吧，如果要多掏2万买智驾等于长续航+智驾落地也要去到28万了差不多。实话说，极越这牌子暂时还是不太行。先打响牌子再说吧，大家都在亏钱。
暂时不适合赚钱。
想做下去还要再亏一年或者两年。
别倒闭呀，车确实不错。",2024-03-01,深圳
Chris,"标续71度电池550实际跑个450。
100度电池要加35000性价比不高。

昨天没开空调跑了个百公里13.6，400v平台用小桔快充最大可跑满120kw，过了80就60kw,在后面20kw左右。
整体表现可以。",2024-02-22,成都
犀利小球,硬件虽然不如新版极氪001，但是这个车有极氪无法媲美和代替的优势：1是纯视觉智驾，使用体验太牛了！对新手非常好，我初次开车上高速就用ppa非常省事！2是车机的功能和语音，以及娱乐功能，非常流畅好用和舒适，主驾驶开车不影响副驾驶看电影唱卡拉ok玩游戏。居家休闲真的非常优秀！,2024-03-05,苏州
极越01冰冰,总体外观比较时尚，我选的是外黑内黑，内部是翻毛皮的比较有质感！内饰整体比较不错，智能驾驶很不错，本人是小鹏P72年车主！已经体验了两年高速辅助驾驶，从广州提车到青岛，行驶2000多公里，智能驾驶里程1700多公里.三天时间体验下来非常不错！,2024-02-15,广州
Zhang煜煜,第一眼看见这个车的时候，就被他的外观吸引了，我跟我媳妇都喜欢这个车的外观，其次才是这个车的科技配置电动门，6K大屏等等，目前开了4000公里整体感觉还不错，不管是底盘质感以及智能化都还不错，目前发现一些小问题希望极越尽快OTA第一个就是续航有点拉胯希望后期OTA优化一下，还有行车记录仪只有前面没有左右后，都2024年了确实有点说不过去还有一些小BUG也希望尽快优化。,2024-01-16,西安
beck7,极越01的三电参数等方面确实在2023年底的时间节点没什么竞争力了，但从实际提车后开了几百公里感知就是这个车的综合体验真的好:浩瀚架构让操控和安全都有很好的实际体验，前卫科技感的外观内饰确实很不错，颜值抗打（极越02的颜值更帅），智能化确实是我体验过的车里做的最好的，没有之一，而且还会不断的迭代。高速体验了ppa，很不错，但还有进步空间，代客泊车也很实用，期待ppa全面开花，期待occ落地……买车真的不能只看参数，还是要自己亲身体验。唯一的遗憾就是没选100度的电池，要加4.5万确实不低…… 最让我欣慰的是极越01目前的几个政策都没有背刺老车主:升级大轮毂卡钳、升级U型方向盘，这都是在我锁车提车后出的政策，竟然老车主都能享受。,2023-11-21,杭州
VincentSU,"买车背景：非刚需买车，刷短视频看到了极越的内饰和智能化，我靠，这就是我的梦想之车，所以 10 月底一发布，秒订，一周后提车，目前使用了 10 余天，一台男人的大玩具。


外观内饰:

黑内黑外+21寸轮毂真的好看，车子非常大气，贯穿式流水灯科技感满满，真皮坐椅方向盘，受受的豪车体验，车身做工还可以，特意看了每条缝的大小，没发现有贴合不好的地方，三联屏很高档，用料很足，尤其是智能化做的非常好。

驾驶感受:

双叉臂悬架很稳，单电机动力也很稳，浩瀚 sea 的平台，地盘很有质感

空间体验:

一个字""够大""，家庭用车很合适！

智能体验:

simo：一个字""够爽""，可见即可说，可以解决所有问题，自动泊车。响应也很快，ppa等辅助驾驶功能很棒！",2023-11-24,深圳
蝎大大,自己第一辆电车，从油车转到这辆极越驾驶体验几乎是从诺基亚进化到苹果4的感受，第一辆电车在选购的时候十分谨慎，对比了同期很多suv，虽然表面的参数，极越有些不如其他品牌，但是车本身极具次时代的设计感与超前的内饰设计极简风，加上t1级别的智驾与智仓加持，最终在发布第二天试驾后晚上马上锁单，交付之后，马上进行了自驾游，车整体的协调性相当不错，我高速手动乱飚也续航稳定，噪音少，底盘稳，内部空间大，而且丝毫没有甲醛的味道，我自己孩子1岁多，相当重视这个问题，只能说这波新车选购是赌对了，虽然目前车辆软件还有一些小问题，官方后续人员也一直在与我保持沟通联系，建议大家买车千万别看表面数据，车子整体开下来驾驶体验才是最重要的,2023-11-21,上海
Kirk2860,"优点
1.底盘好，操控好，指向精准不输进口合资。碾压大部分新势力。
2.智驾供应商为百度apollo第一梯队且已经商用L4
3.电动门，通风按摩加热一应俱全，语音控制速度快准确度高。
缺点
1.能耗在同价位里偏高，在同级别中没有优势。
2.车外语音识别与反应速度和车内完全无法比，拉垮的不行。取消声纹识别后，识别指令依旧很困难。
3.GPS定位经常出现漂移，路况信息也会有错误。

总结：max版如果是800v平台它可能可以横扫20万区间，400v的它只能和同价位车型肉搏。
mp版可以说在30万区间占不到一点便宜，30万各家都上了800v加激光雷达方案的自动驾驶。
建议赶紧开放有消费能力的城市城区ppa，依靠智驾获取市场份额。",2023-12-23,杭州
买问界司马,"上周提车，开了快一周了，说下感受

提车过程：除了交付中心真的远，其他没得说，买车的时候销售很专业，交付人员讲解很耐心，仪式感满满，我还蹭了一顿午饭

外观：一个字，帅。我贴了改色膜，开出去10个人7个都要回头看一眼。战斗属性拉满

内饰：走的科技简约风，比特斯拉精致，但是少了一丢丢豪华感，要是能像极氪001一样增加点豪华感就完美了。

续航：这车我唯一不太满意的就是续航，我的550丐版，提车的时候充满100%，成都10度左右天气开了210km之后剩下大约30%电量，我是有一半的时间开空调，然后开了两晚上哨兵模式，第一周能耗图我放在最后一张

智能驾驶：目前用了几次ppa，很不错，开的比较省心，升级1.3版本后也变的智能了一些，变道超车的操作也敢做。在没有ppa的路段用车道保持也可以，主要是堵车的时候很省力。成都今年上半年应该会ota全城的ppa。

最后说一句，赶紧更新网易云！！！！！！！！",2024-01-22,成都
咕咕虾滑,"2023年最被低估的一款车型，可能是新势力太多，大家有点审美疲劳🤔？

最大的亮点，智能化部分，座舱车机灵敏，屏幕很丝滑，语音反应特别快，遥遥领先于“遥遥领先”，自动驾驶和“遥遥领先”不相上下，自动泊车用了就回不去了，PPA特别适合通勤，我现在一多半的里程都是PPA，轻松多了。

再说机械素质部分，底盘很柔韧，过滤很好，转向非常精准，侧倾很小。动力很丝滑，单电机版本的，动力完全够用，随叫随到。

要说有待提高的部分，一是续航，不喜欢开动能回收，电耗二十左右，用PPA会低不少。然后是转向灯按键需要适应，手感不好。现在新的软件上了自动关转向灯，这块痛点小了很多。

总的来说，在这个价位是非常有诚意的好车，就是太冷门了，厂家不会吹牛，声量太小，希望不会成为勇士，更多人能够体验到这款车。",2024-01-25,上海
知情达理冰淇淋1O2,"23年11月15号，提的车
当天就办好所有手续，车子开回来了
提车很顺利（后悔没有早点贴车衣）
外观标配黑武士，21寸轮毂+四活塞卡钳，操控可以不输极氪，内饰简洁又不失科技感，尤其换完U型方向盘，体验感又提升不少像换了台车。
续航中规中矩，550标续  实际400左右 冬季会再少一些  座椅舒适度还可以，没有很理想也够用
体验感是完胜极氪（个人感觉），车机智能化音响确实不错，开箱就用
价格也摆在这里，等了这么久值了
售后服务还可以，至少有态度，进步也能看见
车主的意见也会听，兑现和承诺不虚
降价就返还车价给到车主，目前做的比别的车企好，不存在背刺
早买早享受，第一个吃肉
一开始说没有补贴，后面主动联系我帮我申请补贴3月份下来",2024-01-14,杭州
多米是只泰迪,【外观】外观很帅，这没得说，流线优美、蚌式前脸，两侧大灯也很有个性。 【内饰】内饰偏简洁，像特斯拉，但比特斯拉更显科技感一些，后续联系可以突出品质感一些。 【空间】空间显大，由于内部的简洁，更显大了。 【驾驶感受】 吉利的浩瀚架构，底盘也是没得说，很舒服，也没什么bug。 【续航】 续航还算可以，深圳这边冬天400km多，目前开的不算太久，在观察中。 【动力表现】 3.8s完完全全够用，秒杀绝大部分了。 【智能体验】 第一梯队应该可以说是，与华为各有擅长之处，当然也有比较多的细节可以优化，比如“周边有车并道进来，车速的管理，建议不要刹停”。simo的机器人助手随着跟百度的文心一言结合后，越来越具有人性化，可以与周边朋友炫不停了。。。,2024-01-27,深圳
傅宇761,"外观设计简洁明了，内饰的淡紫色比较优雅大方，智能化反应快，搜索歌曲秒到位，音响效果不错。PPA高速匝道也能智能化运行不退出，高速智能化换道积极性高（体现动态反应力），续航能力不错。平时一般道路按下智驾键，在道路有线时可以进行跟车功能，方便挪出手。道路驾驶感觉不错，底盘反应比较紧凑，不松垮，这个高配版的提速能力足够。方向盘应该再灵活一点，即便舒适版也有点偏紧。停车入库能力强，有些自己都感觉停车困难的位置也能快速入位。灯光比较漂亮，亮度够，手机确认连接好的情况下靠近开门功能不错。
  缺点是没有800v，高配连后排加热都没有有点说不过去，导航和歌单都没有历史记录来方便调取，缺慢充口不方便！慢充充满对电池比较好！卡片钥匙只能放在充电板上才起作用，极不实用，且危险！有可能在紧急情况下不能换挡，建议取消卡片钥匙，应该直接标配W钥匙。行驶时左转右转在后视镜上没有盲区提醒，在这个时代不应该，应尽快升级，智己的屏幕显示左右转的盲区实时图很实用（右转时看得见自行车道的快速电动摩托车），可以学习升级。",2023-12-28,成都
用户267995765,提车20多天了，这车应该是20万左右最均衡的一辆智能电车了。智舱语音体验让我这个对语音不怎么感冒的都开始依赖语音了，SIMO的反应真的是快，比鸿蒙座舱还快。智驾用着感觉跟小鹏华为不分上下，华为的智驾版太贵了，小鹏的G6倒是便宜，就是外观有点丑。机械素质方面，跟极氪001几乎感觉一模一样。就是内饰素了点，全靠这块大连屏撑场面。然后就是氛围灯有时候直接彩色变白色的，要开关一下氛围灯才能恢复正常。厂家说是软件bug，OTA修复。行吧，不是硬件问题就还好。对了，说到bug，极越反馈问题是真方便，直接在车里喊simo说我要吐槽，就会在APP里自动生成一个反馈工单，一般最多隔天就有回复。新品牌诚意还是不错的。,2024-01-14,深圳
番茄111430925040,"12月8号在杭州提车，交付中心把电充满后直接开回温州，中途从余杭开到萧山区，到家后还有61km续航，总行驶349km。高速前期都是ppa智驾，后来发现进入隧道后会自动降低车速退出来ppa。
从提车到现在共计行驶2300km，总体感受就说此车不去对比：配置在同等价位除了没有激光雷达其它基本是拉满；智驾是一名合格的老司机，很稳重；外观仁者见仁智者见智，买的黑色本来都不洗车，现在洗车都要办年卡，洗完的黑武士真的帅；地盘操控：有极氪的背书其实地盘无需多言。

说了优点说缺点：提车第一天主驾门关不上，智能语音太过于灵敏，和朋友聊天就把我的从浙江导航到了上海，打转向灯没有小浮窗视频，后排座椅偏短，倒车速度过快一些我遇到的小毛病希望后期可以ota",2023-12-30,温州
Vega6532,感觉车没造完，就开始买了。上次用车里程、路线都没法看，连摩托都有的功能，它没有！透明地盘不可控，需要打开的时候，怎么也打不开！分不清内外，我明明坐在车里说话，给我说车外不支持此功能。语音控制没有网传的那么好用，喊破喉咙！,2023-12-17,西安
挂树上打绷带d,科技感十足，内饰乘坐体验舒适，空间布局完美，智驾做的很到位，AI识别精准，车机流畅，冬季续航较差，能耗极高,,常州
就是按,地盘操控优秀，智能化优秀，但是400V电机+按键转向+触屏挂档败笔。特别是按键转向简直反人类，变向还要分心按键是否按到！,,武汉
奔跑的西瓜O,1.车机语音交互目前是汽车的天花板，智能化水平非常高。 2.智驾体验也非常好，期待1月份更新occ。 3.底盘质感没得说，就是极氪001的底子 4.内饰简洁，因人而异，我个人比较喜欢简洁内饰 总体来说是一款个性鲜明，非常有趣好玩的车，值得推荐入手,2023-11-19,深圳
