字段1_文本,字段2,时间,字段3
寅虎长了翅膀,"外观:整体来说还是比较时尚年轻化，特别是从某个小巷子开出来的时候，前脸确实很阔气 整体车型的流线型也比较不错！
内饰: 整体内部来讲在这个价位里面还算是可以的，有真皮的座椅以及方向盘 还有大面积的软包 腿长的人右腿靠在马鞍边也不会很硌腿，三联屏看着比较舒服右边的流媒体也很方便，如果中控屏能再大一点就更完美了，
配置:配置也是想吐槽一下，总觉得十八九万的车 怎么说也得差不多嘛，连L2的辅驾都不给 隐私玻璃 隔音玻璃也不给 三叉戟的日行灯也不给 非要加点钱才行😓，22款亏在电机功率上 85 太小了 起步还是有点肉，多功能方向盘上的按键是整体的 虽然美观度上好一些 但确实容易触碰 按流媒体的时候不太容易识别到 要压好几次才能按出来 其他方面还算是中规中矩 。
空间: 整体乘坐空间那确实没啥说的，同价位少逢敌手，我1米8身高坐在后排可以跷二郎腿😂 把宝宝椅装上后在宝宝椅前面还能站个人 ，小朋友在后排跑来跑去没问题，除过宝宝椅 还能在座两个大人也不是特别拥挤，前排空间也比较大 主要是宽敞，后备箱也相当友好 能放下不少东西，折叠的宝宝推车随便放还有空间，盖板提起来里面还有很多小的空间可以放东西，需要吐槽的就是方向盘对于我来说有点低 还有点远，座近了腿不行 坐远了胳膊累😂
续航: 续航里程主要是看是否开空调和脚法，说的是纯电能跑130，开了半年实际下就开出来过一次130续航，冬天空调开开 二挡 27° 电耗21-22左右，基本能开70-80公里，不开空调的情况下 110-120公里 电耗在17-17.7左右 ，猛踩起步或者加速的情况下80-100公里 电耗在17.5-18左右，当然这些跟天气也有很大的关系，开冷风试过一次但是开的时间短 油耗没有明显大上升 等夏天了在分享，油耗方面 网上很多车主说是油老虎 我觉得还好，毕竟2吨重的车 跑过高速 馈电状态下西安到宝鸡200公里 油耗是7个油，满电带油状态下230公里 油耗是3.5个油，市区油耗堵车状态下油耗会高一些好像8个油吧（家有充电桩很少用油😂）但平时通勤来回也就十几公里所以我这个数据不是很准确，但这个里程显示是挺有毛病的，很多车友吐槽的也没啥问题 虚标 油箱还能跑200多公里就提示，最早满油满电提示1100公里续航 但实际根本跑不了这么多 虽然我没跑过😂😂 但很多测评还是比较真是的，之后系统升级表显满油满电950，可能会真实一些吧 没专业测过 最多就是馈电状态下开到了油显剩100公里 就在没敢开了 赶紧去加了个油😁
智能化：整体车机使用流畅度还不错，可以连续语音控制，不像有的车机每说一个指令都需要先唤醒一次车机，这个大k做的还是很不错的，像开空调 开车窗 开天幕 问天气 定闹钟 导航 包括打游戏之类的都没有什么问题 有车友反应有时候中控会蓝屏死机什么的目前我还没有遇到！
驾驶感受：目前半年行驶7千多公里 大多是都是在市区 跑过四五次高速 但都不远最多230公里，整体乘坐感受来说的话还是比较舒适的，底盘调校的相对软一些 路过坑洼路面没有那么颠簸 所以 零重力座舱还是比较真实，纯电行驶感受没的说 比较顺畅  但是我的车有个问题就是纯电开到30的时候会轻微顿一下然后速度上去，猛踩的话顿挫有点明显 但有时候也不会有这种情况 ，由于电机功率有点小85千瓦 所以起步给人感觉有点肉 但是你猛踩也就把你弹出去了😂 但这个车的好处就是 你只要使劲儿踩 不管在哪一个速度（130码以下哦 往高没试过）都能明显感觉到加速感 动力还是很可以的，馈电行驶的话 就不是那么友好了，首先声音上来讲 纯电开惯了 发动机一想 那个声音听着是真难受 特别是换挡转速高的时候😂，但神奇的是 副驾和后排几乎听不到只有主驾最清晰，还有就是如果油门控制的太过于精细 顿挫感还是比较明显的，这也是P2架构的弊端 ，动力回收方面一般 不像某迪P1+P3 那么好，但馈电时的动力那也是杠杠的 有一次转速的声音把我听操了（就是生气发火的意思）高转速半天不跳档 我一脚来了个深踩 把我直接弹出去了 吓我一跳 方向盘差点没抓稳😂 ，但这个车的转速是真高 之前开的是手动挡 没开过自动挡 所以不知道转速到底多少跳转合适，我这个有时候2千4跳，有时候2千6跳，还有一次竟然是2.8跳，这个让人听着很讨厌，其他的驾驶感受就是拐弯什么的也都比较柔顺 超车轻轻松松 给油就行，充电快充1小时充满，慢冲没计时过😂慢充好处就是可以预约充电 我设置凌晨1点开始 1°电3毛8 ，充满一次十来块钱还是比较剩 一月就用个七八十块 确实比油车省，还有就是之前开的车小 突然开大车 后视镜看不到车后轮 导致我没过两月就拿了一血 拐弯右后门给跐小石桩上了 在车上是一点看不到 最后买了两个小圆镜子装上去就好多了，其他的好像也没啥了，想不起来了😂",2023-04-14,宝鸡
飞狗要加油哦,"6月提车，目前开了6000+公里。

购买体验：及格

车19.29万，保险5000+，上牌1000，免息贷款金融服务费3000，然后买了个两年延保6000+，落地下来接近21万。

送了个免费贴膜，兴冲冲跑过去贴，贴膜店拼命推销贵的膜，说便宜的一两年就坏，到时候不好处理，一怒之下免费的也没贴就开走了。

购买的体验整体还算行，没争取到什么优惠，除了保险贵点也没有什么坑。延保争议比较大，但是电子类的玩意儿，三年之后坏不坏也说不清楚，4S店一推荐就买了。

售后体验：槽点满满，乱七八糟

买车的店没有维修资质，出过一次事故，保险公司第一时间让那个店联系我让我过去修，结果修了十几天都没修好，一天天往后拖，不像是正规4S店，打电话投诉，客服跟我说这个店没有维修资质，只有销售资质，把我气个半死，纯粹是砸长安招牌。卖车的店照顾保险公司的生意，保险公司照顾他的生意，这无可厚非，但是大哥您得有金刚钻才能揽瓷器活啊！

卖的是长安最贵的车，线下渠道还这么乱，这单价能突破20万就见鬼了，没有做中高端的决心。

使用体验：优秀

买这车是因为有深圳周边溜娃需求，所以空间一定要大，家里人坐着得舒服，咱就是一司机师傅。比亚迪难等，接受不了，并且宋plus和唐dmi空间都比不上爱弟弟，另外心仪的品牌其实是红旗，但是没有合适的车型（必须上绿牌），混动SUV也没有几个可选的车型，就买了爱弟弟。

空间是真的大，而且后排中间是通的，过道没有隔开，女儿上车就睡觉，横躺在座椅上和床一样。座椅用料也比较好，很舒服。

显示屏布局合理，错落有致，三屏联动不错。显示屏有设计感，看着很舒服。很多车中控屏是个大方块，像个大ipad一样，极丑。

车机目前能满足要求，应用最多的语音互动场景是让小安开关窗，调空调，导航。app用的最多的是听音乐，QQ音乐每日推荐挺不错，绝大部分都可以免费听。至于其他的应用，我也想不出来可以用啥。语音互动有个槽点，就是音乐和导航没有接入语，正常应该是“小安你好”后面才接指令，但是长安脑路清奇，省了这个，高速上跟老婆聊着天，导航突然自己换地方了，让人非常恼火，手忙脚乱容易出事故。

驾驶模式基本只用i-x 动力澎湃，目前开了6000+公里，有5000+是用油。上下班以前用ev模式，家到公司15公里，公司有充电桩，1元一度电，基本两天一充，后来嫌麻烦就不怎么充了。130公里的纯电续航，我大概能开90公里，充满一次电25元，平均一公里0.25-0.3元。用油差不多是百公里7.5-8升，平均一公里0.6-0.65元。

i-x 动力澎湃模式非常爽，我叫它电辅助模式。一般工况用油，但是起步、加速时电机会介入，虽然1.5T发动机拖着两吨的大车，但有了电机加持的爱弟弟动力响应极快，高速超车、红绿灯起步都很爽。

HEV模式我很少用，我叫它油辅助模式，一般工况用电，只有进入高速区间才会让发动机介入，在市区跟EV模式没啥区别。

刹车前半段偏软，但请过的很多代驾说刹车挺好的，可能每个人习惯不同。

转弯半径大，对面两车道，别人调头轻松过去，我要在众人的注视下转弯、倒车、再调头，非常尴尬。

过弯离心力大，感觉要把人甩出去一样。

概括起来就是，动力很足，但操控不怎么好。在高速上超个车很轻松，但是要像那些宝马、特斯拉一样左右穿插，就别想了，毕竟车上还坐着你的娃，老老实实当好司机就好，车也不允许。

隔音很神奇，见仁见智，有说好有说不好。前排有双层隔音玻璃，但是后排没有。路面不好时胎噪很大，开高速时风躁很大。


多嘴几句：长安对于uni-k idd是很有诚意的，堆了很多料，L2的辅助自动驾驶都安排上了，车上一堆的传感器、摄像头，但很多细节的打磨还很欠缺。买这部车的大部分是不想买或者不想等宋plus或者唐dmi的，混动SUV是很多有溜娃需求家庭的第一部车。对于这部车，空间和内饰是让我了解和买它的主要因素，动力是使用后的惊喜。但是操控和静音做不好，很难让我去推荐给朋友或者作为下一部车的首选。20万是个分水岭，往下就只能去卷油耗和性价比了，uni k idd定价在19万，堆了很多20万以上的车的配置和用料，却没有把相应的用户体验做好，有点可惜，进步的空间还很大。",2022-10-09,深圳
多彩风筝haw,总体评价：外观和内饰没得说，空间很大，舒服的一比！驾驶感受也不错的，续航很惊喜！这台车总的来说很满意！ 提车快四个月了，已经做了首保！我个人比较忙（懒），所以这个新车作业到现在才交。 写一点感悟与大家分享下： 1，我买的高配版，落地20W多一点点。 2，购车时跑了比亚迪，长城，领克，还有丰田等。预算是二十万左右一款家用型SUV。最开始想买比亚迪唐dmi，年前都准备预定了，但是很快就收到了比亚迪涨价的消息，一涨再涨！加上比亚迪外观内饰实在丑，而且比亚迪车油门反应让我觉得很不舒服，再加上比亚迪那个小哥有点装逼，直接把我劝退了。长城感受还不错，我主要考虑插电suv，所以也看了长城的摩卡phev和领克以及CRV，摩卡的各种性能都不错的，但是定价太高了（事实证明确实销量低）。喜欢领克的外观和安全性，但是空间有点不够大。最后还是相中了idd。开了四个月，期间有不少人看了网上的评论就来对我说东说西。呵呵呵，我自己没有一点后悔，这款车是很值，谁用谁爽！ 3，具体说一下车的好的地方： 首先是外观内饰和空间，这是这个价位的其他车无法比的。每天看到就觉得很养眼，内饰座椅很舒服，空间非常大！坐后排的感觉像坐一个大沙发！驾驶和乘坐感受无敌！ 其次是它的续航，130的纯电里程，不开空调的话完全没问题（坐标四川）甚至有时候能超出一两公里！！网上和车友群不少在吐槽馈电油耗高的，我表示很费解！我基本都是在城区上班通勤，等红绿灯，加上新房子的车库没到位，现在充电只能在充电站，所以大部分时候都是馈电跑！结果馈电油耗综合下来都不到7！而且我是那种踩油门很猛那种！ 再一个要表扬一下这边4s店的销售，做的很不错的！ 不满意的地方也有，目前来看就是不满意它的电动尾门，有时候一脚就踢开，有时是真的反应迟钝！！！ 就说这么多，麻烦有idd车友群看到帖子的拉我一下！我还没加入组织！！！拜托🙏,2022-06-12,遂宁
Diy课堂,【购车经历】 一开始想着买纯电的车，后续又看了混动的车，基本所有品牌的车都看了，最后考虑到家用，家里两个小孩所以选择了长安uink idd，毕竟混动现阶段比较有性价比的，当然有人会说混动贵，实际考虑多面性，还是混动比较好，就说uink有燃油和混动，贵了几万，我可以用纯电，比较燃油版的uink要省很多，比较与电车，车所有都有电机输出功率，老化和安全性也是问题，混动再不济，电机不行，可以加油当燃油车开跑，相较于纯电使用寿命要长！所以现阶段实际还是混动性价比比较高！ 【驾驶感受】 跑到现在1800公里，驾驶感受还算不错，纯电开空调续航大概在110-120左右，动力模式推背感和动力也不错，毕竟定位中型suv，所以这款车驾乘人舒适度是没毛病，绝对不错，至于驾驶者可能就一般，地盘调教和减震偏硬，我一般就是ev或者hev 两个模式用！ 【油耗】 我在满电满油情况下，综合续航950左右，当然还是个人使用习惯有关！ev模式开空调在110到120左右，混动模式大概4.5到6.5左右油耗，动力模式(纯油)6到7个油耗，不包括亏电。亏电基本7到9个油，毕竟发动机还需要给电机充电！强烈不建议亏电行驶 【亮点配置】 总体性价比不错，当然我最后选择长安最大的原因，还是后座驾乘人舒适性真心好！至于那些自动驾驶配置大同小异，不过我个人很喜欢的配置流媒体后视镜，实用性较大！ 【最不满意】 第一点，不要用佛系长续航，原因在这个模式下，先用掉电才会发动机介入，同时增加了后期的油耗！ 第二点，底盘，减震，偏硬！且不可调节，但是舒适度还是可以接受的， 第三点，变速箱在降挡顿挫感明显，在混动模式下，不要急加速，或者地板油，发动机介入明显，会出现，突然提速！,2022-07-29,海南
自律丨自由,"【购车经历】
        家里之前的汽车是2010款别克英朗GT1.6手动进取版轿车，夫人在市区使用太累，于是考虑换一辆自动挡SUV。之前关注过魏摩卡、吉利星悦L、雷神、unik燃油版，无意间在懂车帝看到了长安unik idd版。随后，加入了车友圈，下载了引力域，去现场看车并试驾，对比了同事的唐、宋、unit、unik等各类车，综合权衡之下选择了此车。
        购买此车主要考虑到城市限号、日常通勤、外出远行兼顾，其次要求是好看、好开、空间大、智能化。从看车到买车不到一个月，直接提了顶配白色（不是纯白，带星星点点）、蓝白内饰的现车。
【提车价格】
        裸车价格19.29万，落地价格18.40万。（优惠4000元，置换补贴1万，保险4600，上牌450，送三年或6次保养、雷朋膜、脚踏板、脚垫）
【驾乘感受】
        4月25日提车至今，总驾驶里程2226公里，2次高速、其余市区通勤，整体油耗满意。
        该车外观年轻时尚，空间宽敞明亮，内饰用料挺好，乘坐感受舒适。
        车机反应迅速，智能交互方便，人机交互识别迅捷。
        因为之前驾驶的是1.6手动挡，原车1、2档切换顿挫感严重、小马拉大车，车内噪声控制不足。所以对此车驾驶感受比较满意，动力够用，加速有力，车内噪声控制较好。
【最不满意】
        1.混动模式下发动机介入时转速很高、噪声大。
        2.车漆貌似比较薄。右后方翼子板被划，就一层漆皮，直接见底层金属。",2022-05-26,西安
沐子周游记,"［最满意］
坐标深圳，90后奶爸一枚，我觉得整车的外观简洁大气，充满未来感;车内空间很大内饰也不错;360°全景影像确实比一般的车要好;最最最重要的是能上绿牌，提车快！

［最不满意］
由于车身重，有点耗油，春节期间回老家长途测了下油耗，满油满电出发，中途加满一次，充了一次电（高速上的电真TM贵），到家1100km左右，然后又加满了，实测并不像官方宣称的满油满电1100km…整体算起来差不多是7-8毛一公里；还有就是长安的控车app做得实在太差了，功能少，不稳定，还搞几个app，不能就好好优化一个吗？希望上市能更新好吧！

*空间 5分
家用足够大，平时接送孩子上学，带父母出去玩空间完全可以，座椅非常舒服，我妈跟老婆小孩坐后座，长途十几个小时也没觉得腰酸背痛的，之前油车就不行了，这点确实满意，空间很充足，后排中间的设计很好，没有凸起的部分，坐3个人很轻松，平常出去玩可以把后排的座椅，接上外放电功能，妥妥的露营神器！

*动力 4.8分
动力还不错，这车油门调教的挺好，一踩油门加速还挺快的，在高速上超车丝毫不慌，风琴踏板，踩起来很轻松，不会小马拉大车。
*操控 4分
上下全平的方向盘略小巧，刚开始不习惯，单手大方向有点别扭，转向很快，有三种模式可调；油门跟刹车反应速度很快，我平时用的动能回收标准模式，强回收在城市开不是很舒服；HEV模式下，如果馈电等红绿灯的时候还是会感觉到方向盘有点小抖动，也能感受到轻微的降档，毕竟有三离合变速器，做不到像比亚迪那样无感；减震效果还行，低速车内几乎没有噪音，隔音不错，但是高速110km风燥就有点大了，我对比了下这车的侧窗双层夹胶玻璃比昂科威的要薄，可能是这个原因！
*总结
20万内，这车配置可以说是很好的了，主动安全配置很强，能满足我上绿牌，大空间，高配置，舒适性等多方面的需求！长安用料也放心一点！顺便吐槽下，之前5月份订的宋plus，一直等到年底都提不到车，销售服务也差得要命，偶然发现idd上了，果断去看车确定，订车到提车7天左右，年前就搞定了，感觉这才是买车的正常流程，长安的路线跟比亚迪不一样，选择了动力，但是油耗可能兼顾不到，对于我日常用车也无所谓了，平时都是纯电在跑，不过还是希望长安能把这个虚标的事搞清楚，因为这车还没上市，在预售期，待上市后优化吧！想买这款车的人都是挺在意的！谁也不想当小白鼠！后续还会继续更新用车感受，谢谢大家！
最后祝大家开工大吉，工作顺利！",2022-02-08,
极测匠坊,"外观：黑外蓝灰内，灰色座椅容易脏，远不如黑色座椅好打理，整体外观黑武士的风格，个人还是挺喜欢的，20寸战斧轮毂，够用了，金色卡钳罩有点山寨了。
内饰：内饰看起来科技感很足，但是我个人觉得仪表台有点大，三个大小不一的屏幕有点乱，很多功能其实能集成在一块屏幕上的，而且三块屏幕的材质应该不一样，显示胎压的小屏幕感觉颜色不如两块大屏幕。
配置：参照尊贵，卓越少了，很多舒适配置，主要是我们这尊贵没有现车，有限小遗憾，但是该有的配置基本上都有了话说也够用了。 
空间：跨界suv尺寸空间足够，4.9米车身2.89米轴距空间足够宽敞通俗一点就是大五座了，后备箱地台有点高，容积相比同尺寸suv显小，后排坐垫太短了，大腿有点悬空，地板纯平比较爽。 
续航；ev里程我的跟天气温度和个人开法有很大关系，现在我在郑州，天气在15-20度左右基本上可以做到1：1续航，达到130公里，但是基本上就是佛系开，黄金脚，急加速放开，基本上能开到100km左右。高速满载5人满电满油开过6.4，满载5人满油馈电开过7.4，后来尝试满电，满载5人，进行先ev跑完，切换HEV（SOC保电90%进行反充电）跑100km充电续航100km在切换ev行驶最终跑了270km显示油耗5.7L但是我觉得标显有点虚了，实际更高。反正我充电方便，平时纯电龟速。
智能化：小安识别率挺高可以连续识别命令，车机么有收音机，收音机是流量模式，车机很封闭，应用商店只有4个应用！车机没有carplay！很不方便。但是不连接手机用也没啥问题。
驾驶感受：ev模式动力在城市刚够用！适合佛系开法，基本上提速瞬间还可以，电机功率太小了。高速超车还是燃油吧，HEV模式频繁切换有点智障，i车载混动模式下等红绿灯d档+aotohold，发动机的振动会传到方向盘！但很轻微，还是能感觉到。无论ev，hev都会有轻微顿挫，动力很生硬和手动挡动力结合一样，没有at动力衔接那么润滑。反正我就是要么EV模式，要么HEV模式给SOC拉满，他就一直发动机和电机驱动，没有那么多顿挫感。 
【油耗】油耗这东西就见仁见智了，佛系开不开空调纯电跑130也可能，跟开法温度有关系。油耗满电可以做到5.L几，馈电7L+吧。
【最满意】座椅大沙发舒适性可以，后排纯平，老婆孩子比较喜欢。可以外放电。全景大天窗，开闭面积也比较大，如果有行李架就更好了。
【保养】：在厂家活动2.6-2.28先享权益里，终身免费基础保养。还是比较好的。1年2次基本够用了。
【提车价格】提车176900+4900保险+300上牌
【购车经历】在看这个车之前预定了BYD宋PLUS DMI 和唐DMI.宋提车预计时间从3个月一直加到7个月。唐从一个月加到三个月，最终转看IDD，宋的价格唐的尺寸还是比较香喷喷的，剩下的就是看质量和售后服务了。",2022-03-07,
我和我的IDD,"先说一下购车经历，本来2月12日预定了宋plusDMI，销售说3月份肯定可以提到车，但是等了快一个月一点消息没有，销售爱答不理，心里很不爽。正在不爽之时看到路上有一辆绿牌的uni-k行驶，瞬间来了兴趣，然后拉着我媳妇去长安4s店果断看了一下这台车，销售也非常热情的带我试驾，给我讲车（但是当天没定错过了白色现车），但是过了两天销售告诉我idd可以优惠又拉着一家人去看车，讲好了价格和赠品果断预定，本来要从厂家调车，但是4s店知道我着急要车然后从别的城市调了一台现车过来，让我感到十分开心。
  1.外观方面：家里老人觉得这台车前脸太夸张，不如宋，但是我觉得还是可以，也还算是符合我的审美，觉得这台车设计的挺科幻的；
  2.内饰方面：这台车内饰设计豪华感特别强，真皮座椅，三连屏配合上中控屏简直不要太爽，而且我和我媳妇都喜欢听音乐，14个Sony音响实在太爽了，加上我最喜欢的两幅式方向盘，实在是太香了；
  3.配置方面：该有的都有，但是建议厂家能够加个后排座椅加热就更完美了，虽然有用不到的配置，但是我的理念就是，虽然我用不到，但是必须得有，哈哈哈，尤其马牌的大脚，太爽了，国产良心；
  4.空间方面；太大了，啥都不说，大就完了，后面妥妥的老板坐，前排空间也很宽敞，空间没的说，出外旅游太爽了；
  5.续航方面：续航我自我认为可以接受了，我在长春，提车两天了，没开空调，没开座椅加热，纯电续航100km肯定有了，油耗我没试过馈电，我表显是4L左右，城市里开，走走停停的，我感觉挺满意的，这么大车配上这油耗我觉得够用；
  6.智能化方面：我觉得智能化可玩度说实话，不高，系统默认QQ音乐，而且车载的QQ音乐还不多，导航我倒是觉得挺爽的，可以AR实景，这个完美，但是希望长安也可以像比亚迪似的给搞个麦克风玩玩，毕竟不能浪费14个Sony音响不是，还有360影像，我个人觉得太清楚了，而且流媒体后视镜，但是冷不丁看着还是有点不太适应，之后之后慢慢适应就是，360全景那些我觉得挺清楚了，不输给别的国产车就是了；
  7.驾驶感受方面：我觉得动力在城市里开没问题，没试过暴力驾驶，一直都是在很平稳的开，刚起步太平顺了，以前开油车实在是没有这个电起步香，而且发动机不看转速表感觉不出来介入，听着音乐完全听不到发动机的响声，反正驾驶这方面我个人很满意，但是每个人感受都不一样，这个仁者见仁，智者见智了；
  最后我想说的是，支持国产就完了！国产车现在某些方面已经领先合资车了，国人多给国产用品一些机会，国产用品不会让国人失望的！！！",2022-03-11,长春
嘉言懿行1530,人生第一台车，对unik idd很满意，无论是外观，内饰，智能化配置，还是驾驶感受，都满足了我对智能汽车的所有想象，后排柔软的大沙发，超级无敌大的空间，让家里小朋友很喜欢。从2022年这个车刚上市就一直在关注，观望了这么久，今年初过段入手。我个人比较喜欢的几个点，隐藏式门把手，点亮的车标，贯穿式尾灯，转向辅助流水灯，360全景影像，开门预警，前车碰撞主动刹车，这些都一一满足。车内语音控制很灵敏，识别度很高，现在还在慢慢探索熟悉功能，总能给我一些惊喜。车子很大，刚开始开还不太喜欢，转弯半径较大，掉头和停车入位需要好几次才能成功，但是在高速上很有安全感，跑起来很稳，跟在大货车旁边也不会感觉很渺小，心理上的这种按时让人很放心。别人都说2024了还花将近20买个长安，这么多选择，我只想说，千金难买我喜欢，合适自己的才是最好的，支持国产！！！,2024-03-13,深圳
陌生人192,车子是好的，就是厂家不上心搞，车机不更新，一大堆小问题，售后服务也不行，态度不好,,上海
厚升长安闫程可,"大学毕业三四年了 ，这两年一直在开家里的车 ，但有时候我爸也要开 ，就很不方便 ，加上又谈了对象 ，随后就有了买车的想法 ，这几年自己也存下了五万块钱 ，本想买个二手车代步就算了 ，后来家里一商量干脆一步到位 ，买新车 ，结婚的时候就不换车了。   
之后就到处看车 ，合资国产对比了一下 ，相对来说在二十万以内还是自主品牌的性价比高一些 ，我们家对国产品牌并没有什么芥蒂 ，我也是比较喜欢国产的 所以决定多考虑一下咱们的自主品牌 。

我家的老车就是SUV ，开惯了城市越野 ，实在不大适应轿车的视野 ，所以还是要买SUV 。介于现在的油价 ，能不加油还是不加油（加不起啊 😭）但我们每年要跑长途回老家过年 ，所以取舍一下还是插电式混动 。

综合这些条件售价20万以内 ，比较一圈之后在我心里入围的车就是长安的UNI-K IDD 吉利星越L雷神混动 WEY的拿铁DHT 比亚迪的宋dmi，我都挺喜欢 一一试驾之后觉得长安的IDD的后排是真的大 舒服 

决定下来也没啥纠结的 付钱 提车 纯电能跑一百多公里 平常上下班在市里代步完全足够了 跑长途也没有里程焦虑  还能外放电 偶尔周末跟朋友出去野餐完全不用担心电的问题 

现在夏天 天这么热在车内开空调也不必再启动发动机耗油 加上座椅通风 直接YYDS 休息模式也能让你在下班之后在车里有一段属于你自己的时间 

现在夜市摆摊文化这么火 我也想去参加个后备箱集市啥的 后备箱一开 摆个小摊 烤个肠 哈哈哈 外放电就是个神技能 也不用再买电瓶的 一个月挣个生活费 油钱还是很轻松的 奈斯！

总体来说这辆车综合素质还是可以的，就是个家用车，要说操纵 动力 真的只能说够用 毕竟不是什么大排量 1.5T的排量 虽说有电机辅助 但毕竟两顿多重的车身自重在那摆着呢 。开快了跟开船似的，哈哈哈哈！现在开了好几天了 一切都很好 没有出现任何毛病 后期出现问题 我再随时发帖 ！

最后我想说 随着时代的发展 自主品牌会越做越好 不光自主品牌要有信心 咱们消费者也要有信心！",2022-07-23,潍坊
呦你哎dd,"人生第一辆车，3个月真实车主用车感受，附加3个月能耗花费一览表。

所购车:2022长安uni-k idd 卓越版

这个车我很喜欢！

【最不满意】
高德地图车机版本太低，给的路线比手机体验太差，每次都要手机选好路线然后发送到车机才行，但有时候中途休息下，路线可能就被切换，真的烦人;
车机软件比较少，但能支持网易云、qq、酷狗、优酷、爱奇艺啥的，我觉得足够了，开车看不了车机，停车了还是手机好玩，能放歌就行，索尼标挺好看，音质我就感觉不出来好到哪了;
ev模式下车失去过3次动力，就是怎么踩油门都没反应，但都是慢慢溜到路边，重启就好了，去首保检测了一下，也没有故障码，也不知道是什么问题，目前没再次遇到过，所有模式能正常使用;
最近雨刷器我放到关闭模式下，它总会不自主的启动一次雨刷，我可以保证所有旋钮在off模式，也没有遇见雨水什么的，有空去检测一下;
前面栅格网里面躺了好多小虫子尸体，我还不知道要怎么清理，清理感觉好麻烦;
车身上好多掉漆的小点，听家人说可能是路过的大车碾过蹦过来的石子造成的，不细看看不出来，我也懒得维护了，代步工具而已，总不能天天供起来;
高速风噪应该是不可能避免的，可能卓越版不是双层夹胶玻璃，不知道网上说安装车门胶条好使不，也没去弄;
4s店给了一个92元人工费享1688大礼包，大礼包的东西全是垃圾，就不该听他们的，最好自己去外面找汽车服务店贴车膜和装脚垫。
【购车经历】
选车标准:1.插电混动或增程;2.20万以内;3.suv（特想买小车，无奈家人让买suv，一下子pass了好多车）;4尽量国产。其实在去年12月份，限定条件加完，能选的车型符合条件的基本很少了，其他不再赘述。

【提车价格】
和销售磨嘴皮子最终落地价格17万5千6（车+保险+上牌+588终身基础保养），买了券又返了800，实际成本控制在17万5了，感觉还可以接受。

【驾驶感受】
整车外观的设计风格我特别喜欢，前脸的进气栅格（就因为前脸，我pass了宋），腰身的板正（宋pro的腰身有点瘦高，还是宋plus更合眼缘），屁股的贯穿车灯，刚好就长在我个人的审美标准上了。车内空间巨大且空旷，大五座用起来刚刚好（不想玩7座的，主要唐我也买不起），三连屏的设计，不对称的中控屏，小巧的方向盘，操控台整个布局比较流畅，混为一体（我pass了欧尚idd和宋的第二个理由），右扶手按键简约，我很喜欢，空调触摸板样子好看，实用性太弱，尤其开车的时候根本不好按，方向盘按键集成一块，用着还凑合，没有过误触（我自己用着还行）。驾驶位腰部支撑真的太贴心了，头枕太高体验差（自购了一个一个加上的），后排座椅偏低，但胜在空间巨大。后备箱下部小储物格挺好用的，空间大小够用了觉得（先去看的欧尚那款idd，又送备胎又送充电器的，搞得我自己先入为主，以为长安的车都有，都会送，然后把自己给坑进去了）。

【油耗】
平常没少看网友关于能耗的分享，自己也有意识的用小熊油耗，高德油耗做记录，但是都不准确，趁着上班闲级无聊，用表格统计了一下购车到现在的充电、加油、罚款、饰品、维护服务等费用，目前总里程5080.7公里，发动机里程2904公里，用车里程2176.7公里，充电总费用389.51元，加油2206.43元，违停、违规变道被罚款350元，洗车、充电器、香薰乱七八糟费用等，车被别的车主剐蹭，保险赔了500，面积不大，懒得去喷漆了，京东买了车漆自己刷了一下，反正我自己近视不细看也看不见，总费用合计3300元，平均每公里成本0.65元，如果能统计能耗的话，每公里成本应该是0.51元，实际用车成本应该在0.51~0.65之间，有些慢充蹭单位的电没算进去，慢充次数应该在10次以内。

【续航】
续航虚标肯定是没有争议的，但我实际用车还没真正测试过，没有体验过一次用完油和电的旅程，估算大概应该在700到900区间内，这和个人用车习惯、油品、温度、路况有很大关系，个人体验是我自己以后不会再去加小加油站的油了，加中石化的油续航明显比小加油站跑的远的多，冬天电耗比现在高的多。
【动力表现】
个人不喜欢开慢车，但也不开赌气车，高速车较多的情况，车速平均一般110到120左右，车较少测速不多的路段一般在130到160左右，130到140区间可能多一点，我感觉动力绝对是很足的（不管怎么开车，绝对把安全放第一位，个人是开帅不飙车，不开赌气车，能让就让）。还有就是城市用电ev，高速用ix动力澎湃，其他模式不用，hev只有在巡航的时候用，个人感觉不好用，大家都说“有电一条龙，没电一条虫”，那就保持用龙模式不就好了，自己的车要我肯定发挥他的潜力，用优秀的那一面，还没走过无法充电，特别紧急不能充电的情况。慢充基本放一宿给它慢慢充，快充一般1个半小时充满，个人没有被充电耽搁过。",2023-03-28,新乡
