字段1_文本,字段2,时间,字段3,时间1
探岳人生,驾驶感受稳如老牛，飙到140车内没有什么感觉。空间也够，智能一般，人机对话比较差，说的话经常识别不准。,,天津,2022-11-13
八月的峰,开了800公里，各种路况都试跑过，各种功能都试了，还可以，空间，外观，配置都满意，唯独续航有点鸡肋，家里没充电的地方纯电基本没用，平时只能油电混动，好在油耗4个左右还可以。,,宁德,2023-05-17
寸心千古3,外观大气，内饰一般，配置还可以，空间真的不错，纯电续航就那么回事，智能化比智障好点，驾驶感受还不错。,,西安,2022-12-10
远程慢车,"续航能力有限，智能化不太丰富，建议可以通过升级或者更换电池包增加续航能力，
【智能化】最起码360影像，有待于提高。

【油耗】综合油耗控制在5升以内

【续航】能提高的200公里左右比较合理吧！",2023-07-12,郑州,
用户769855865589,"【提车价格】全款落地20.3（补贴后），不到21的价格已经很美丽了，有4k防疫补贴和6k的购车补贴。3699和全景360是赠送的，给店里先谈价格再要选配置这没得说。

【购车经历】砍价技巧：四月听说好多经销商任务没有完成，在月底的前5天开始价格攻势，一点一点往下磨，最后月底倒数第二天临门一脚。该送的3m车太阳膜前后和双摄该要的都要了。零零碎碎的小东西做好清单，付款前给他要。

【空间表现】前排空间对于suv车型来说这没得说，后排可以勉强翘起二郎腿，后备箱空间有点小。视野十分宽敞，没得问题观察前方车辆很清晰。

【驾驶感受】gte模式模拟的声浪有点像嘶吼，和大排量发动机还是不一样，毕竟是个小排量发动机，不能要求太多，不过一般都是为了经济性呗。

【续航】这是一个需要好好说说的点，要是可以提升到100km的续航就好了，但是想了想要是提升了油车改怎么卖呢。大家理解一下刀法呗。

【乘坐体验】值得一提的是dq400e的变速箱，希望能像7速湿式一样耐用吧。

【智能化】车联网基本够用，不过市区内拥堵等实时路况比导航更需要吧

总的来说，车无完车，就看给你的便捷性和舒适性比他的缺点多多少吧。毕竟一个代步工具，开心就好。",2022-05-06,郑州,
刁T民,1、外观；比较满意，选择这个车有一部分原因是冲着外观去的。美中不足的是着急提车，买的金色的。 2、动力；超过了预期，不管有电没电动力都是杠杠的。开GTE加速时都是轮胎打滑往前走的，甩我以前的捷达八条街😎 3、超控；这点不用过多赘述，大众的基本功是没问题的 4、续航；这个要给差评的，辛辛苦苦充电3个半小时才充满，结果不到一个小时就用完了，还不支持快充……用混合动力还能坚持时间稍微长点 5、智能化；大众这一块做的比较一般，和国产车比不了。亮点是迎宾大灯、迎宾踏板，可以有点仪式感。 6、油耗；满电就不说了，亏电状态不使用充电模式油耗：市区7个油（特别堵的话上调1个油），高速5.5～6个油。毕竟车重1.8吨，还算符合预期。 7、耐用性；目前公里数还不大，没参考意义。选择探岳就是因为这套插电混动系统简单，或许油耗不会有太大亮点，但是正因为简单出故障的几率会低，买个车首先考虑的得是省心。 我了解的奥迪、起亚的插电混动都是用的这套系统，综合来算，这套插电系统的保有量还是可以的，不至于销量太少车龄大了以后没人知道怎么修,2022-07-19,郑州,
WTiger666,2020年下半年那会入手买的，当时也看过其他phev车型，决定这款车有GTE的标识还蛮个性的，赶上当地有政府补贴政策，选的GTE专属蓝色，吸引我的是奥迪q3同厂的品控，提车城市当地生产，内饰和配置以及续航和智能化在当时对我来说够用，没有选高配那款是因为平常都是我自己独自开车频率高，日均驾驶100km左右、高峰值单日会破200km，每天都回家充电，百公里平均油耗4.44L（自加油至今统计的数据，高速快速城市和乡镇路况），已经行驶超6万公里，日常跑动车都是装载了一堆公司的样品，驾驶模式会根据路况手动切换，市内短距离纯电/混动，乡镇电量保持，亏电后充电模式，需要激烈驾驶时候开启GTE模式，推背感就来了，一血是在乡镇路上被异物蹦到的主驾驶门2块漆，二血是右侧车门下方移出障碍物区域刮蹭的，三血是进入小区后右拐自来水公司施工没有围栏醒目标志刮蹭的，四血是被人为在后排右侧能划的道子……这些伤都还没报保险和修复,2022-06-30,天津,
谢浚又叫Joshua,"￼

谢浚又叫Joshua

9分钟前

大众油电混动用车体验

选车：我28，毕业工作两年纯凭自己购车，一开始都是奔着BBA入门，犹豫了俩月，就要开始筹备婚礼了，同样20+的预算，想想日后养家糊口问题，入门BBA确实不够用，经济实用大气，选了绿牌大众，又在广州省了2.5万上牌钱?，挺香。

油耗：最关心的问题来了，有充电条件天天充电，那油耗低的恐怖，没有充电条件，我建议直接用维持模式，我新车落地没有充电条件，维持模式纯油走了2000km吧，表显油耗5.3L百公里，维持模式好处是电用在刀刃上，起步，在发动机顺畅了再把电冲回来，加上点优秀的脚法，一台2吨重的SUV纯油开5.3的油耗，很优秀了。

动力：我认为是够用了，电机加速，动力随传随到，加速平顺丝滑，只要有电，加速就非常顺，但没电了就不好说了，1.4发动机确实有点吃力。

内饰：这个内饰只能说比毛坯房好上一点，但经济养家车，也行吧，别和豪华车比就好

车机：车机系统一如既往地low，大众的车机真的就是比没有好上一点而已，老科技了，老掉牙的那种，懂得都懂。

缺点：电池太小，充电太慢，行李箱因为电池占用了不少位置，且舍弃了备胎位置，没有了备胎。

总体，我认为确实是踏踏实实的家用养家车，先稳住，再追求想要的",2022-01-04,广州,
里昂L肯尼迪,购车目标很明确，城市限号，还有孩子，就买个绿牌suv，预算25左右。 充电条件不成熟，且未来会打算长途，最终锁定插电探岳。 买的二手准新车，豪华版，价格搞到18.8直接开走，什么都不送，羊毛出在羊身上，几分钟就提车了。 开了几天还有惊喜，之前配置没有详细研究，次日出去玩出停车场，跟前车太近突然触发自动刹车，摸索中控时竟然还有座椅加热，进隧道自动大灯开启，车内还有氛围灯（媳妇发现的），进地库下车地面还有迎宾灯。意外之喜更对探岳gte充满好感。 提车时油和电均见底，加满油未充电开了这几天，b档回收，基本油耗八个多，起步经常还是电起步。唯一不满意就是长时间等红灯发动机起动怠速震动比较强烈，且耳朵也有明显的共振，目前没有别的更多问题。 结合价位总体满意，如果不是城市限牌，直接就买q3了。,2021-10-05,郑州,
小摩托会上树,"小毛病没有网上帖子说的那么多，加速平顺性、底盘质感都很棒，电池续航马马虎虎，市郊结合区工况40km左右，满足我的基本需求。

大众车的双离合变速箱低速顿挫通病也有，不过是极低速才会偶发（进地库过障碍物时，接近停车速度会出现小顿挫），适当避免接近停车的低速行驶，可以完美避免低速顿挫。中高速换挡很平顺。

GTE模式动力很棒，超车很轻松，0-100加速不需要地板油，正常踩，随踩随有。100以上加速也不肉，试过100-140，高速变道稳定性不错，没有日系那么漂。经济模式也就是纯电模式，80km/h后的加速偏软，高速路上适合使用GTE模式，增加行车安全，油耗也不高。车是用来享受生活的，买车不舍得油费，那何苦买车呢？骑自行车多好，环保又健康😊。

目前一直在使用纯电模式，表显百公里电量16.1kw·h，偶尔使用GTE模式，目前行车400km，油耗1.6L/100km，实际用车成本在0.25元/100km以内。考虑到12万公里或是电池质保8年后，可能面临换电池成本，目前用车成本近似于换电池成本的8年展期，但是获得了绿牌不限行、超越探岳380tsi的动力表现以及货币时间价值（科技进步大概率会让8年后的电池成本更低），感觉也还可以

我的车打算长期开，不打算换车，最多是再买一辆补充家用，所以我不担心车辆保值率的问题。毕竟车是越换越贵，可能有人举例说有越换越便宜的车主，但这是个例，极端样本不代表总体。

后续用车发现什么毛病或者优点，再和大家分享",2022-10-11,天津,
